,Over_Lindsay Lohan
0,i
1,watch
2,walls
3,around
4,me
5,crumble
6,like
7,i
8,build
9,here's
10,your
11,last
12,chance
13,redemption
14,take
15,lasts
16,'cause
17,end
18,my
19,tears
20,turning
21,time
22,i'm
23,wasting
24,trying
25,find
26,reason
27,goodbye
28,i
29,can't
30,live
31,without
32,you
33,can't
34,breathe
35,without
36,you
37,i
38,dream
39,you
40,honestly
41,tell
42,me
43,'cause
44,world
45,spinning
46,i'm
47,still
48,living
49,right
50,we're
51,together
52,tell
53,me
54,i'll
55,first
56,go
57,wanna
58,last
59,know
60,i
61,one
62,chase
63,you
64,time
65,you're
66,heart
67,i
68,call
69,home
70,i'm
71,always
72,stuck
73,emotions
74,i
75,try
76,feel
77,less
78,i'm
79,whole
80,my
81,tears
82,turning
83,time
84,i'm
85,wasting
86,trying
87,find
88,reason
89,goodbye
90,i
91,can't
92,live
93,without
94,you
95,can't
96,breathe
97,without
98,you
99,i
100,dream
101,you
102,honestly
103,tell
104,me
105,'cause
106,world
107,spinning
108,i'm
109,still
110,living
111,right
112,we're
113,together
114,tell
115,me
116,i'll
117,first
118,go
119,i'll
120,first
121,go
122,wanna
123,last
124,know
125,my
126,tears
127,turning
128,time
129,i'm
130,wasting
131,trying
132,find
133,reason
134,goodbye
135,i
136,can't
137,live
138,without
139,you
140,can't
141,breathe
142,without
143,you
144,i
145,dream
146,you
147,honestly
148,tell
149,me
150,'cause
151,world
152,spinning
153,i'm
154,still
155,living
156,right
157,we're
158,together
159,tell
160,me
161,tell
162,me
163,honestly
164,tell
165,me
166,honestly
167,tell
168,me
169,tell
170,me
171,tell
172,me
