,A House Is Not a Motel_Love
0,my
1,house
2,i've
3,got
4,shackles
5,you
6,come
7,look
8,you
9,want
10,halls
11,you'll
12,see
13,mantles
14,light
15,shines
16,dim
17,around
18,you
19,streets
20,paved
21,gold
22,someone
23,asks
24,you
25,you
26,call
27,my
28,name
29,you
30,thought
31,someone
32,somewhere
33,somehow
34,feels
35,you
36,real
37,touch
38,smell
39,feel
40,know
41,you
42,streets
43,paved
44,gold
45,someone
46,asks
47,you
48,you
49,call
50,my
51,name
52,you
53,call
54,my
55,name
56,i
57,hear
58,you
59,calling
60,my
61,name
62,yeah
63,right
64,time
65,i'm
66,singing
67,bells
68,schools
69,walls
70,ringing
71,confusions
72,blood
73,transfusions
74,news
75,today
76,movies
77,tomorrow
78,water's
79,turned
80,blood
81,you
82,think
83,go
84,turn
85,your
86,tub
87,mixed
88,mud
89,you'll
90,see
91,turn
92,gray
93,you
94,call
95,my
96,name
97,i
98,hear
99,you
100,calling
101,my
102,name
