,Wrecking Ball_Miley Cyrus
0,clawed
1,chained
2,hearts
3,vain
4,jumped
5,never
6,asking
7,kissed
8,fell
9,spell
10,love
11,one
12,could
13,deny
14,pre-chorus
15,ever
16,say
17,walked
18,away
19,always
20,want
21,can't
22,live
23,lie
24,running
25,life
26,always
27,want
28,came
29,like
30,wrecking
31,ball
32,never
33,hit
34,hard
35,love
36,wanted
37,break
38,walls
39,ever
40,wreck
41,yeah
42,wreck
43,put
44,high
45,sky
46,coming
47,slowly
48,turned
49,let
50,burn
51,we're
52,ashes
53,ground
54,pre-chorus
55,ever
56,say
57,walked
58,away
59,always
60,want
61,can't
62,live
63,lie
64,running
65,life
66,always
67,want
68,came
69,like
70,wrecking
71,ball
72,never
73,hit
74,hard
75,love
76,wanted
77,break
78,walls
79,ever
80,wreck
81,came
82,like
83,wrecking
84,ball
85,yeah
86,closed
87,eyes
88,swung
89,left
90,crashing
91,blazing
92,fall
93,ever
94,wreck
95,yeah
96,wreck
97,bridge
98,never
99,meant
100,start
101,war
102,wanted
103,let
104,instead
105,using
106,force
107,guess
108,let
109,win
110,never
111,meant
112,start
113,war
114,wanted
115,let
116,guess
117,let
118,win
119,interlude
120,ever
121,say
122,walked
123,away
124,always
125,want
126,came
127,like
128,wrecking
129,ball
130,never
131,hit
132,hard
133,love
134,wanted
135,break
136,walls
137,ever
138,wreck
139,came
140,like
141,wrecking
142,ball
143,yeah
144,closed
145,eyes
146,swung
147,left
148,crashing
149,blazing
150,fall
151,ever
152,wreck
153,yeah
154,wreck
155,yeah
156,wreck
157,produced
158,dr
159,luke
160,cirkut
161,video
162,terry
163,richardson
