,The Magic Position_Patrick Wolf
0,let
1,people
2,talk
3,monday
4,morning
5,walk
6,right
7,past
8,fabulous
9,mess
10,we're
11,gonna
12,beautiful
13,day
14,bluebirds
15,sing
16,i
17,take
18,your
19,hand
20,you
21,take
22,my
23,kiss
24,i
25,take
26,world
27,'cause
28,people
29,i've
30,known
31,places
32,i've
33,songs
34,i
35,sung
36,wonders
37,i've
38,seen
39,dreams
40,coming
41,true
42,one
43,leads
44,me
45,you
46,puts
47,me
48,magic
49,position
50,darling
51,you
52,put
53,me
54,magic
55,position
56,live
57,learn
58,love
59,major
60,key
61,i
62,know
63,you've
64,hurt
65,dragged
66,dirt
67,c'mon
68,get
69,back
70,time
71,live
72,give
73,your
74,love
75,me
76,i'm
77,gonna
78,keep
79,carefully
80,deep
81,treasure
82,chest
83,my
84,breast
85,'cause
86,people
87,i've
88,known
89,places
90,i've
91,songs
92,i
93,sung
94,wonders
95,i've
96,seen
97,dreams
98,coming
99,true
100,one
101,leads
102,me
103,you
104,puts
105,me
106,magic
107,position
108,darling
109,you
110,put
111,me
112,magic
113,position
114,darling
115,let
116,me
117,put
118,you
119,magic
120,position
121,darling
122,'cause
123,i'm
124,singing
125,major
126,key
127,let
128,me
129,put
130,you
131,major
132,key
