,Tee Shirt_Birdy
0,morning
1,you
2,wake
3,i
4,like
5,believe
6,you
7,thinking
8,me
9,sun
10,comes
11,your
12,window
13,i
14,like
15,believe
16,you’ve
17,dreaming
18,me
19,dreaming
20,i
21,know
22,'cause
23,i'd
24,spend
25,half
26,morning
27,thinking
28,tshirt
29,you
30,sleep
31,i
32,know
33,'cause
34,i'd
35,spend
36,whole
37,day
38,listening
39,your
40,message
41,i’m
42,keeping
43,never
44,deleting
45,i
46,saw
47,you
48,everyone
49,knew
50,i
51,liked
52,effect
53,you
54,my
55,eyes
56,one
57,else
58,heard
59,weight
60,your
61,words
62,felt
63,effect
64,my
65,mind
66,falling
67,i
68,know
69,'cause
70,i'd
71,spend
72,half
73,morning
74,thinking
75,tshirt
76,you
77,sleep
78,i
79,know
80,'cause
81,i'd
82,spend
83,whole
84,day
85,listening
86,your
87,message
88,i’m
89,keeping
90,never
91,deleting
