,We Will Become Silhouettes_The Postal Service
0,i've
1,got
2,cupboard
3,cans
4,food
5,filtered
6,water
7,pictures
8,you
9,i'm
10,coming
11,i'm
12,looking
13,glass
14,light
15,bends
16,cracks
17,i'm
18,screaming
19,top
20,my
21,lungs
22,pretending
23,echoes
24,belong
25,someone
26,someone
27,i
28,used
29,know
30,become
31,silhouettes
32,bodies
33,finally
34,go
35,i
36,wanted
37,walk
38,empty
39,streets
40,feel
41,something
42,constant
43,my
44,feet
45,news
46,reports
47,recommended
48,i
49,stay
50,indoors
51,air
52,outside
53,make
54,cells
55,divide
56,alarming
57,rate
58,shells
59,simply
60,cannot
61,hold
62,insides
63,that's
64,we'll
65,explode
66,pretty
67,sight
68,we'll
69,become
70,silhouettes
71,bodies
72,finally
73,go
74,we'll
75,become
76,we'll
77,become
78,we'll
79,become
80,silhouettes
81,bodies
82,finally
83,go
84,we'll
85,become
86,we'll
87,become
88,we'll
89,become
90,silhouettes
91,bodies
92,finally
93,go
94,we'll
95,become
96,we'll
97,become
98,we'll
99,become
100,silhouettes
101,bodies
102,finally
103,go
104,we'll
105,become
106,we'll
107,become
108,we'll
109,become
110,we'll
111,become
