,My Heart Will Go On_Céline Dion
0,every
1,night
2,my
3,dreams
4,i
5,see
6,you
7,i
8,feel
9,you
10,i
11,know
12,you
13,go
14,far
15,across
16,distance
17,spaces
18,us
19,you
20,come
21,show
22,you
23,go
24,near
25,far
26,wherever
27,you
28,i
29,believe
30,heart
31,go
32,you
33,open
34,door
35,you're
36,my
37,heart
38,my
39,heart
40,go
41,love
42,touch
43,us
44,one
45,time
46,last
47,lifetime
48,never
49,let
50,go
51,'til
52,we're
53,gone
54,love
55,i
56,loved
57,you
58,one
59,true
60,time
61,i
62,hold
63,my
64,life
65,we'll
66,always
67,go
68,near
69,far
70,wherever
71,you
72,i
73,believe
74,heart
75,go
76,you
77,open
78,door
79,you're
80,my
81,heart
82,my
83,heart
84,go
85,you're
86,there's
87,nothing
88,i
89,fear
90,i
91,know
92,my
93,heart
94,go
95,we'll
96,stay
97,forever
98,way
99,you
100,safe
101,my
102,heart
103,my
104,heart
105,go
