,Futile Devices_Sufjan Stevens
0,long
1,long
2,time
3,since
4,i've
5,memorized
6,your
7,face
8,four
9,hours
10,since
11,i've
12,wandered
13,your
14,place
15,i
16,sleep
17,your
18,couch
19,i
20,feel
21,safe
22,you
23,bring
24,blankets
25,i
26,cover
27,my
28,face
29,i
30,love
31,you
32,i
33,love
34,you
35,you
36,play
37,guitar
38,i
39,listen
40,strings
41,buzz
42,metal
43,vibrates
44,underneath
45,your
46,fingers
47,you
48,crochet
49,i
50,feel
51,mesmerized
52,proud
53,i
54,would
55,say
56,i
57,love
58,you
59,saying
60,loud
61,hard
62,i
63,say
64,i
65,stay
66,long
67,you
68,life
69,i
70,needed
71,along
72,i
73,think
74,you
75,my
76,brother
77,although
78,sounds
79,dumb
80,words
81,futile
82,devices
