,That's the Way Love Goes_Janet Jackson
0,like
1,moth
2,flame
3,burned
4,fire
5,my
6,love
7,blind
8,can't
9,you
10,see
11,my
12,desire
13,that's
14,way
15,love
16,goes
17,that's
18,way
19,love
20,that's
21,way
22,love
23,that's
24,way
25,love
26,goes
27,like
28,moth
29,flame
30,burned
31,fire
32,that's
33,way
34,my
35,love
36,blind
37,can't
38,you
39,see
40,my
41,desire
42,that's
43,way
44,like
45,moth
46,flame
47,burned
48,fire
49,that's
50,way
51,my
52,love
53,blind
54,can't
55,you
56,see
57,my
58,desire
59,that's
60,way
61,love
62,goes
63,like
64,moth
65,flame
66,burned
67,fire
68,that's
69,way
70,that's
71,way
72,that's
73,way
74,love
75,goes
76,that's
77,way
78,love
79,goes
80,my
81,love
82,blind
83,can't
84,you
85,see
86,my
87,desire
88,that's
89,way
90,that's
91,way
92,that's
93,way
94,love
95,goes
96,come
97,me
98,you
99,worry
100,i'm
101,gonna
102,make
103,you
104,crazy
105,i'll
106,give
107,you
108,time
109,your
110,life
111,i'm
112,gonna
113,take
114,you
115,places
116,you've
117,never
118,you'll
119,happy
120,you
121,came
122,ooh
123,i'm
124,gonna
125,take
126,you
127,oooh
128,that's
129,way
130,love
131,goes
132,that's
133,way
134,love
135,goes
136,that's
137,way
138,love
139,goes
140,that's
141,way
142,love
143,goes
144,that's
145,way
146,that's
147,way
148,love
149,goes
150,that's
151,way
152,that's
153,way
154,love
155,goes
156,mind
157,i
158,light
159,candles
160,i
161,like
162,watch
163,us
164,play
165,baby
166,i've
167,got
168,you
169,like
170,come
171,closer
172,baby
173,closer
174,reach
175,feel
176,my
177,body
178,i'm
179,gonna
180,give
181,you
182,my
183,love
184,ooh
185,sugar
186,you
187,hurry
188,you've
189,got
190,me
191,night
192,close
193,your
194,eyes
195,hold
196,tight
197,that's
198,way
199,that's
200,way
201,ooh
202,baby
203,stop
204,stop
205,go
206,deeper
207,baby
208,deeper
209,you
210,feel
211,good
212,i'm
213,gonna
214,cry
215,ooh
216,i'm
217,gonna
218,take
219,your
220,that's
221,way
222,love
223,goes
224,that's
225,way
226,love
227,goes
228,that's
229,way
230,love
231,goes
232,that's
233,way
234,love
235,goes
236,that's
237,way
238,love
239,goes
240,that's
241,way
242,love
243,goes
244,that's
245,way
246,love
247,goes
248,that's
249,way
250,love
251,goes
252,you
253,know
254,goes
255,that's
256,way
257,interlude
258,like
259,moth
260,flame
261,burned
262,fire
263,my
264,love
265,blind
266,can't
267,you
268,see
269,my
270,desire
271,like
272,moth
273,flame
274,burned
275,fire
276,my
277,love
278,blind
279,can't
280,you
281,see
282,my
283,desire
284,that's
285,way
286,that's
287,way
288,that's
289,way
290,that's
291,way
292,that's
293,way
294,that's
295,way
296,that's
297,way
298,love
299,goes
300,that's
301,way
302,love
303,goes
304,that's
305,way
306,that's
307,way
308,that's
309,way
310,love
311,goes
312,goes
313,goes
314,that's
315,way
316,that's
317,way
318,that's
319,way
320,love
321,goes
322,that's
323,way
324,love
325,goes
326,that's
327,way
328,love
329,goes
330,that's
331,way
332,love
333,goes
334,that's
335,way
336,love
337,goes
338,that's
339,way
340,love
341,that's
342,way
343,love
344,that's
345,way
346,love
347,that's
348,way
349,love
350,that's
351,way
352,love
353,that's
354,way
355,love
356,that's
357,way
358,love
359,goes
