,End of the Road_Boyz II Men
0,mike
1,girl
2,you
3,know
4,belong
5,together
6,i
7,time
8,you
9,playing
10,my
11,heart
12,like
13,you'll
14,mine
15,forever
16,baby
17,you
18,see
19,nathan
20,belong
21,together
22,you
23,know
24,i'm
25,right
26,you
27,play
28,my
29,heart
30,you
31,play
32,my
33,mind
34,said
35,we'd
36,forever
37,said
38,it'd
39,never
40,die
41,could
42,you
43,love
44,me
45,leave
46,me
47,never
48,say
49,goodbye
50,prechorus
51,wanya
52,i
53,can't
54,sleep
55,night
56,without
57,holding
58,you
59,tight
60,girl
61,time
62,i
63,try
64,i
65,break
66,cry
67,pain
68,my
69,head
70,oh
71,i'd
72,rather
73,dead
74,spinnin'
75,around
76,around
77,although
78,we've
79,come
80,end
81,road
82,still
83,i
84,can't
85,let
86,go
87,unnatural
88,you
89,belong
90,me
91,i
92,belong
93,you
94,come
95,end
96,road
97,still
98,i
99,can't
100,let
101,go
102,unnatural
103,you
104,belong
105,me
106,i
107,belong
108,you
109,shawn
110,girl
111,i
112,know
113,you
114,really
115,love
116,me
117,you
118,realize
119,you've
120,never
121,your
122,first
123,time
124,maybe
125,i'll
126,forgive
127,you
128,hmm
129,maybe
130,you'll
131,try
132,happy
133,together
134,forever
135,you
136,i
137,prechorus
138,wanya
139,you
140,love
141,me
142,like
143,you
144,loved
145,me
146,time
147,i
148,want
149,you
150,love
151,me
152,much
153,time
154,instead
155,come
156,my
157,bed
158,baby
159,let
160,me
161,let
162,me
163,wanya
164,although
165,we've
166,come
167,end
168,road
169,end
170,road
171,still
172,i
173,can't
174,let
175,go
176,end
177,road
178,i
179,know
180,i
181,can't
182,let
183,go
184,baby
185,unnatural
186,you
187,belong
188,me
189,i
190,belong
191,you
192,i
193,know
194,i'm
195,gonna
196,come
197,end
198,road
199,i
200,know
201,i'm
202,gonna
203,'cause
204,i
205,know
206,i've
207,come
208,end
209,road
210,end
211,road
212,still
213,i
214,can't
215,let
216,go
217,oh
218,my
219,god
220,oh
221,my
222,god
223,help
224,me
225,little
226,bit
227,baby
228,unnatural
229,you
230,belong
231,me
232,i
233,belong
234,you
235,interlude
236,mike
237,shawn
238,girl
239,i'm
240,you
241,times
242,night
243,you
244,hurt
245,me
246,ran
247,fella
248,baby
249,i
250,knew
251,i
252,care
253,you
254,understand
255,much
256,i
257,love
258,you
259,you
260,i'm
261,you
262,i'm
263,go
264,cheat
265,you
266,night
267,baby
268,i'm
269,you
270,baby
271,like
272,you
273,baby
274,that's
275,right
276,baby
277,you
278,tried
279,hey
280,i
281,love
282,you
283,anyway
284,i'm
285,still
286,gonna
287,you
288,'till
289,my
290,dying
291,day
292,baby
293,happy
294,together
295,forever
296,you
297,i
298,right
299,i'm
300,much
301,pain
302,baby
303,’cause
304,you
305,come
306,back
307,me
308,you
309,come
310,back
311,me
312,interlude
313,mike
314,lonely
315,yes
316,baby
317,my
318,heart
319,lonely
320,lonely
321,my
322,heart
323,hurts
324,baby
325,lonely
326,yes
327,i
328,feel
329,pain
330,baby
331,please
332,prechorus
333,wanya
334,time
335,instead
336,come
337,my
338,bed
339,baby
340,let
341,me
342,go
343,wanya
344,although
345,we've
346,come
347,end
348,road
349,we've
350,come
351,end
352,road
353,still
354,i
355,can't
356,let
357,go
358,i
359,know
360,i
361,can't
362,let
363,go
364,unnatural
365,you
366,belong
367,me
368,i
369,belong
370,you
371,i
372,know
373,i'm
374,going
375,come
376,end
377,road
378,i
379,know
380,i'm
381,gonna
382,'cause
383,i
384,know
385,i've
386,come
387,end
388,road
389,end
390,road
391,still
392,i
393,can't
394,let
395,go
396,oh
397,my
398,god
399,oh
400,my
401,god
402,help
403,me
404,little
405,bit
406,baby
407,unnatural
408,baby
409,you
410,belong
411,me
412,baby
413,i
414,belong
415,you
416,although
417,we've
418,come
419,end
420,road
421,still
422,i
423,can't
424,let
425,go
426,unnatural
427,you
428,belong
429,me
430,i
431,belong
432,you
433,come
434,end
435,road
436,we've
437,come
438,end
439,road
440,still
441,i
442,can't
443,let
444,go
445,i
446,know
447,i
448,can't
449,let
450,go
451,unnatural
452,you
453,belong
454,me
455,i
456,belong
457,you
