,Foolish Games_Jewel
0,you
1,took
2,your
3,coat
4,stood
5,rain
6,you're
7,always
8,crazy
9,like
10,i
11,watched
12,my
13,window
14,always
15,felt
16,i
17,outside
18,looking
19,you
20,you're
21,always
22,mysterious
23,one
24,dark
25,eyes
26,careless
27,hair
28,you
29,fashionably
30,sensitive
31,cool
32,care
33,you
34,stood
35,my
36,doorway
37,nothing
38,say
39,besides
40,comment
41,weather
42,prechorus
43,well
44,case
45,you
46,failed
47,notice
48,case
49,you
50,failed
51,see
52,my
53,heart
54,bleeding
55,you
56,me
57,my
58,knees
59,foolish
60,games
61,tearing
62,me
63,apart
64,your
65,thoughtless
66,words
67,breaking
68,my
69,heart
70,you're
71,breaking
72,my
73,heart
74,you're
75,always
76,brilliant
77,morning
78,smoking
79,your
80,cigarettes
81,talking
82,coffee
83,your
84,philosophies
85,art
86,baroque
87,moved
88,you
89,you
90,loved
91,mozart
92,you'd
93,speak
94,your
95,loved
96,ones
97,i
98,clumsily
99,strummed
100,my
101,guitar
102,you'd
103,teach
104,me
105,honest
106,things
107,things
108,daring
109,things
110,clean
111,things
112,knew
113,honest
114,dollar
115,mean
116,i
117,hid
118,my
119,soiled
120,hands
121,behind
122,my
123,back
124,somewhere
125,along
126,line
127,i
128,must've
129,got
130,track
131,you
132,prechorus
133,excuse
134,me
135,think
136,i've
137,mistaken
138,you
139,somebody
140,else
141,somebody
142,gave
143,damn
144,somebody
145,like
146,myself
147,foolish
148,games
149,tearing
150,me
151,you're
152,tearing
153,me
154,you're
155,tearing
156,me
157,apart
158,your
159,thoughtless
160,words
161,breaking
162,my
163,heart
164,you're
165,breaking
166,my
167,heart
168,you
169,took
170,your
171,coat
172,stood
173,rain
174,you're
175,always
176,crazy
177,like
