,(Just Like) Starting Over_John Lennon
0,produced
1,john
2,lennon
3,yoko
4,ono
5,jack
6,douglas
7,engineered
8,lee
9,decarlo
10,jon
11,smith
12,life
13,together
14,precious
15,together
16,grown
17,-
18,grown
19,although
20,love
21,still
22,special
23,let's
24,take
25,chance
26,fly
27,away
28,somewhere
29,alone
30,pre-chorus
31,long
32,since
33,took
34,time
35,no-one
36,blame
37,know
38,time
39,flies
40,quickly
41,see
42,darling
43,like
44,falling
45,love
46,it'll
47,like
48,starting
49,-
50,starting
51,everyday
52,used
53,make
54,love
55,can't
56,making
57,love
58,nice
59,easy
60,time
61,spread
62,wings
63,fly
64,let
65,another
66,day
67,go
68,love
69,it'll
70,like
71,starting
72,-
73,starting
74,take
75,alone
76,take
77,trip
78,somewhere
79,far
80,far
81,away
82,we'll
83,together
84,alone
85,like
86,used
87,early
88,days
89,well
90,well
91,well
92,darling
93,pre-chorus
94,long
95,since
96,took
97,time
98,no-one
99,blame
100,know
101,time
102,flies
103,quickly
104,see
105,darling
106,like
107,falling
108,love
109,it'll
110,like
111,starting
112,-
113,starting
114,everyday
115,used
116,make
117,love
118,can't
119,making
120,love
121,nice
122,easy
123,time
124,spread
125,wings
126,fly
127,let
128,another
129,day
130,go
131,love
132,it'll
133,like
134,starting
135,-
136,starting
137,life
138,together
139,precious
140,together
141,grown
142,-
143,grown
144,although
145,love
146,still
147,special
148,let's
149,take
150,chance
151,fly
152,away
153,somewhere
154,starting
