,You Really Got a Hold on Me_The Beatles
0,i
1,like
2,you
3,i
4,love
5,you
6,seems
7,i'm
8,always
9,thinking
10,you
11,oh
12,oh
13,oh
14,you
15,treat
16,me
17,badly
18,i
19,love
20,you
21,madly
22,you've
23,really
24,got
25,hold
26,me
27,you've
28,really
29,got
30,hold
31,me
32,baby
33,i
34,want
35,you
36,i
37,need
38,you
39,want
40,kiss
41,you
42,i
43,need
44,oh
45,oh
46,oh
47,you
48,me
49,wrong
50,my
51,love
52,strong
53,you've
54,really
55,got
56,hold
57,me
58,you've
59,really
60,got
61,hold
62,me
63,baby
64,refrain
65,i
66,love
67,you
68,i
69,want
70,you
71,hold
72,me
73,hold
74,me
75,hold
76,me
77,hold
78,me
79,tighter
80,tighter
81,i
82,want
83,leave
84,you
85,want
86,stay
87,want
88,spend
89,another
90,day
91,oh
92,oh
93,oh
94,i
95,want
96,split
97,i
98,can't
99,quit
100,you've
101,really
102,got
103,hold
104,me
105,you've
106,really
107,got
108,hold
109,me
110,baby
111,refrain
112,i
113,love
114,you
115,i
116,want
117,you
118,hold
119,me
120,please
121,hold
122,me
123,squeeze
124,hold
125,me
126,hold
127,me
128,you've
129,really
130,got
131,hold
132,me
133,you've
134,really
135,got
136,hold
137,me
