,All I Want Is You_U2
0,you
1,say
2,you
3,want
4,diamonds
5,ring
6,gold
7,you
8,say
9,you
10,want
11,your
12,story
13,remain
14,untold
15,promises
16,make
17,cradle
18,grave
19,i
20,want
21,you
22,you
23,say
24,you'll
25,give
26,me
27,highway
28,noone
29,treasure
30,look
31,upon
32,riches
33,night
34,you
35,say
36,you'll
37,give
38,me
39,eyes
40,moon
41,blindness
42,river
43,time
44,dryness
45,harbour
46,tempest
47,promises
48,make
49,cradle
50,grave
51,i
52,want
53,you
54,you
55,say
56,you
57,want
58,your
59,love
60,work
61,right
62,last
63,me
64,night
65,you
66,say
67,you
68,want
69,diamonds
70,ring
71,gold
72,your
73,story
74,remain
75,untold
76,your
77,love
78,grow
79,cold
80,final
81,promises
82,break
83,cradle
84,grave
85,i
86,want
87,you
88,you
89,i
90,want
91,you
92,i
93,want
94,you
95,i
96,want
97,you
