,Measuring Cups_Andrew Bird
0,get
1,your
2,measuring
3,cups
4,we'll
5,play
6,new
7,game
8,come
9,front
10,class
11,we'll
12,measure
13,your
14,brain
15,we'll
16,give
17,you
18,complex
19,we'll
20,give
21,name
22,get
23,your
24,measuring
25,cups
26,we'll
27,play
28,new
29,game
30,can't
31,cream
32,crop
33,cream
34,liquid
35,gas
36,glass
37,contain
38,you
39,talk
40,hand
41,glory
42,tale
43,that's
44,rather
45,grim
46,gory
47,another
48,children's
49,story
50,that's
51,declawed
52,tales
53,brothers
54,grimm
55,gorey
56,outlawed
57,i
58,think
59,they're
60,gonna
61,make
62,you
63,start
64,you
65,want
66,start
67,put
68,your
69,backpack
70,your
71,shoulder
72,good
73,little
74,soldier
75,take
76,your
77,places
78,cause
79,we're
80,predisposed
81,measuring
82,cups
83,play
84,new
85,game
86,front
87,class
88,measure
89,your
90,brain
91,give
92,you
93,complex
94,we'll
95,give
96,name
97,you
98,talk
99,hand
100,glory
101,tale
102,that's
103,rather
104,grim
105,gory
106,another
107,children's
108,story
109,that's
110,declawed
111,tales
112,brothers
113,grimm
114,gorey
115,outlawed
116,put
117,your
118,backpack
119,your
120,shoulder
121,good
122,little
123,soldier
124,different
125,you're
126,older
127,you're
128,predisposed
129,that's
130,questions
131,case
132,closed
