,Overgrown_James Blake
0,want
1,know
2,took
3,things
4,thrown
5,away
6,like
7,daily
8,time
9,passes
10,constants
11,stay
12,don’t
13,wanna
14,star
15,stone
16,shore
17,lone
18,doorframe
19,wall
20,everything’s
21,overgrown
22,really
23,really
24,wanted
25,rights
26,wrongs
27,wouldn’t
28,understand
29,would
30,try
31,playing
32,along
33,want
34,know
35,took
36,things
37,thrown
38,away
39,like
40,daily
41,time
42,passes
43,constants
44,stay
45,don’t
46,wanna
47,star
48,stone
49,shore
50,lone
51,doorframe
52,wall
53,everything’s
54,overgrown
55,really
56,really
57,wanted
58,rights
59,wrongs
60,wouldn’t
61,understand
62,would
63,try
64,playing
65,along
66,wouldn’t
67,understand
68,would
69,try
70,playing
71,along
72,wouldn’t
73,understand
74,would
75,try
76,playing
77,along
78,want
79,know
80,took
81,things
82,thrown
83,away
84,like
85,daily
86,time
87,passes
88,constants
89,stay
90,time
91,passes
92,constants
93,stay
94,time
95,passes
96,constants
97,stay
98,time
99,passes
100,constants
101,stay
