,Punchdrunk Lovesick Singalong_Radiohead
0,i
1,wrapped
2,you
3,inside
4,my
5,coat
6,came
7,firebomb
8,house
9,i
10,feel
11,pain
12,'cause
13,one
14,touch
15,me
16,i'm
17,held
18,your
19,spell
20,beautiful
21,girl
22,beautiful
23,girl
24,turn
25,your
26,world
27,dust
28,sell
29,me
30,car
31,goes
32,sell
33,me
34,house
35,stands
36,i
37,never
38,cared
39,i
40,never
41,cared
42,i
43,never
44,cared
45,beautiful
46,girl
47,beautiful
48,girl
49,turn
50,your
51,world
52,dust
53,beautiful
54,girl
55,beautiful
56,girl
57,turn
58,your
59,world
60,dust
61,i
62,stood
63,front
64,her
65,face
66,first
67,bullet
68,shot
