,Such Great Heights_The Postal Service
0,i
1,thinking
2,sign
3,freckles
4,eyes
5,mirror
6,images
7,kiss
8,they're
9,perfectly
10,aligned
11,i
12,speculate
13,god
14,himself
15,make
16,us
17,corresponding
18,shapes
19,like
20,puzzle
21,pieces
22,clay
23,true
24,may
25,seem
26,like
27,stretch
28,thoughts
29,like
30,catch
31,my
32,troubled
33,head
34,you're
35,away
36,i
37,missing
38,you
39,death
40,you
41,road
42,several
43,weeks
44,shows
45,you
46,scan
47,radio
48,i
49,hope
50,song
51,guide
52,you
53,home
54,see
55,us
56,waving
57,great
58,heights
59,come
60,they'll
61,say
62,everything
63,looks
64,perfect
65,far
66,away
67,come
68,we'll
69,stay
70,i
71,tried
72,my
73,best
74,leave
75,your
76,machine
77,persistent
78,beat
79,sounded
80,thin
81,upon
82,listening
83,frankly
84,fly
85,you
86,hear
87,shrillest
88,highs
89,lowest
90,lows
91,windows
92,guiding
93,you
94,home
95,see
96,us
97,waving
98,great
99,heights
100,come
101,they'll
102,say
103,everything
104,looks
105,perfect
106,far
107,away
108,come
109,we'll
110,stay
111,see
112,us
113,waving
114,great
115,heights
116,come
117,they'll
118,say
119,everything
120,looks
121,perfect
122,far
123,away
124,come
125,we'll
126,stay
127,see
128,us
129,waving
130,great
131,heights
132,come
133,see
134,us
135,waving
136,great
137,heights
138,come
