,Golden Slumbers_The Beatles
0,way
1,get
2,back
3,homeward
4,way
5,get
6,back
7,home
8,sleep
9,pretty
10,darling
11,cry
12,i
13,sing
14,lullaby
15,golden
16,slumbers
17,fill
18,your
19,eyes
20,smiles
21,await
22,you
23,you
24,rise
25,sleep
26,pretty
27,darling
28,cry
29,i
30,sing
31,lullaby
32,way
33,get
34,back
35,homeward
36,way
37,get
38,back
39,home
40,sleep
41,pretty
42,darling
43,cry
44,i
45,sing
46,lullaby
