,Summer Romance (Anti-Gravity Love Song)_Incubus
0,i'm
1,home
2,alone
3,tonight
4,full
5,moon
6,illuminates
7,room
8,sends
9,mind
10,aflight
11,think
12,dreaming
13,thoughts
14,seemingly
15,possible
16,prechorus
17,call
18,tin
19,phone
20,rendezvous
21,quarterto
22,make
23,sure
24,we're
25,alone
26,think
27,i've
28,found
29,way
30,finally
31,fly
32,free
33,get
34,we're
35,gonna
36,fly
37,far
38,away
39,making
40,sure
41,laugh
42,experience
43,antigravity
44,antigravity
45,antigravity
46,years
47,kept
48,potentialities
49,bound
50,living
51,shelf
52,simply
53,choose
54,destination
55,diamond
56,canopy
57,we'll
58,prechorus
59,call
60,tin
61,phone
62,rendezvous
63,quartertwo
64,make
65,sure
66,we're
67,alone
68,think
69,i've
70,found
71,way
72,finally
73,free
74,get
75,we're
76,gonna
77,fly
78,far
79,away
80,making
81,sure
82,laugh
83,experience
84,antigravity
85,antigravity
86,antigravity
87,antigravity
88,antigravity
89,oh
90,yeah
