,When A Man Loves A Woman_Percy Sledge
0,man
1,loves
2,woman
3,can't
4,keep
5,his
6,mind
7,nothin'
8,else
9,he'd
10,change
11,world
12,good
13,thing
14,he's
15,found
16,she
17,bad
18,he
19,can't
20,see
21,she
22,wrong
23,turn
24,his
25,back
26,his
27,best
28,friend
29,he
30,put
31,her
32,man
33,loves
34,woman
35,he'll
36,spend
37,his
38,last
39,dime
40,tryin'
41,hold
42,he
43,needs
44,he'd
45,give
46,his
47,comforts
48,sleep
49,rain
50,she
51,said
52,that's
53,way
54,ought
55,well
56,man
57,loves
58,you
59,woman
60,i
61,gave
62,you
63,everything
64,i
65,tryin'
66,hold
67,your
68,heartless
69,love
70,baby
71,please
72,treat
73,me
74,bad
75,man
76,loves
77,woman
78,deep
79,his
80,soul
81,she
82,bring
83,him
84,misery
85,she
86,playin'
87,him
88,fool
89,he's
90,last
91,one
92,know
93,lovin'
94,eyes
95,never
96,see
97,man
98,loves
99,woman
100,he
101,her
102,wrong
103,he
104,never
105,want
106,girl
107,yes
108,man
109,loves
110,woman
111,i
112,know
113,exactly
114,he
115,feels
116,cause
117,baby
118,baby
119,you're
120,my
121,world
122,man
123,loves
124,woman
