,Chateau Lobby #4 (in C for Two Virgins)_Father John Misty
0,emma
1,eats
2,bread
3,butter
4,like
5,queen
6,would
7,ostrich
8,cobra
9,wine
10,we’ll
11,satanic
12,christmas
13,eve
14,play
15,piano
16,chateau
17,lobby
18,i’ve
19,never
20,done
21,baby
22,gentle
23,it’s
24,first
25,time
26,i’ve
27,got
28,inside
29,people
30,boring
31,you’re
32,something
33,else
34,completely
35,damn
36,let’s
37,take
38,chances
39,wanna
40,take
41,kitchen
42,lift
43,wedding
44,dress
45,someone
46,probably
47,murdered
48,bourgeoisie
49,keep
50,waiting
51,dating
52,twenty
53,years
54,feels
55,pretty
56,civilian
57,i’ve
58,never
59,thought
60,ever
61,thought
62,whole
63,life
64,first
65,time
66,people
67,boring
68,you’re
69,something
70,else
71,can’t
72,explain
73,take
74,last
75,name
76,bridge
77,first
78,time
79,let
80,stay
81,night
82,despite
83,rules
84,took
85,early
86,go
87,cheat
88,way
89,film
90,school
91,left
92,note
93,perfect
94,script
95,"""stay"
96,long
97,"want"""
98,haven’t
99,left
100,bed
101,since
102,haven’t
103,hated
104,things
105,somebody
106,else
107,since
108,remember
109,what’s
110,going
111,uh
112,whole
113,life
114,forever
