,Fidelity_Regina Spektor
0,shake
1,never
2,loved
3,nobody
4,fully
5,always
6,one
7,foot
8,ground
9,protecting
10,heart
11,truly
12,got
13,lost
14,sounds
15,pre-chorus
16,hear
17,mind
18,voices
19,hear
20,mind
21,words
22,hear
23,mind
24,music
25,breaks
26,heart
27,breaks
28,heart
29,breaks
30,heart
31,well
32,breaks
33,heart
34,suppose
35,never
36,ever
37,met
38,suppose
39,never
40,fell
41,love
42,suppose
43,never
44,ever
45,let
46,kiss
47,sweet
48,soft
49,suppose
50,never
51,ever
52,saw
53,suppose
54,never
55,ever
56,called
57,suppose
58,kept
59,singing
60,love
61,songs
62,break
63,fall
64,break
65,fall
66,break
67,fall
68,break
69,fall
70,break
71,fall
72,break
73,fall
74,bridge
75,friends
76,say
77,course
78,gonna
79,get
80,better
81,gonna
82,get
83,better
84,better
85,better
86,better
87,better
88,better
89,better
90,better
91,never
92,loved
93,nobody
94,fully
95,always
96,one
97,foot
98,ground
99,protecting
100,heart
101,truly
102,got
103,lost
104,sounds
105,pre-chorus
106,hear
107,mind
108,voices
109,hear
110,mind
111,words
112,hear
113,mind
114,music
115,breaks
116,heart
117,breaks
118,heart
119,bridge
120,hear
121,mind
122,voices
123,hear
124,mind
125,words
126,hear
127,mind
128,music
129,breaks
130,heart
131,breaks
132,heart
133,breaks
134,heart
135,oh
136,breaks
137,heart
138,oh
139,breaks
140,heart
141,oh
142,breaks
143,heart
144,breaks
145,heart
146,oh
147,breaks
148,heart
149,breaks
150,heart
151,breaks
152,heart
153,oh
154,breaks
155,heart
