,When You're Gone_The Cranberries
0,dobeda
1,dobeda
2,dobeda
3,dobeda
4,dobeda
5,dobeda
6,dobeda
7,dobeda
8,dobeda
9,dobeda
10,dobeda
11,dobeda
12,dobeda
13,dobeda
14,dobeda
15,dobeda
16,hold
17,onto
18,love
19,i've
20,found
21,everything's
22,stinking
23,they're
24,around
25,night
26,could
27,helpless
28,could
29,lonely
30,sleeping
31,without
32,day
33,everything's
34,complex
35,there's
36,nothing
37,simple
38,i'm
39,around
40,miss
41,gone
42,hey
43,baby
44,going
45,carry
46,knew
47,hey
48,baby
49,dobeda
50,dobeda
51,dobeda
52,dobeda
53,hold
54,onto
55,hands
56,feel
57,i'm
58,sinking
59,sinking
60,without
61,mind
62,everything's
63,stinking
64,stinking
65,without
66,miss
67,gone
68,hey
69,baby
70,going
71,carry
72,knew
73,hey
74,baby
75,dobeda
76,dobeda
77,dobeda
78,dobeda
79,hey
80,baby
81,dobeda
82,dobeda
83,dobeda
84,dobeda
85,hey
86,baby
