,Don't Forget_Demi Lovato
0,you
1,forget
2,i
3,even
4,alive
5,you
6,forget
7,everything
8,ever
9,you
10,forget
11,you
12,forget
13,me
14,you
15,regret
16,you
17,regret
18,ever
19,standing
20,my
21,side
22,you
23,forget
24,you
25,forget
26,feeling
27,inside
28,i'm
29,left
30,forget
31,us
32,somewhere
33,went
34,wrong
35,strong
36,love
37,like
38,song
39,you
40,can't
41,forget
42,i
43,guess
44,stand
45,you
46,regret
47,ever
48,holding
49,my
50,hand
51,never
52,please
53,forget
54,forget
55,fall
56,even
57,love
58,i
59,forget
60,i
61,forget
62,us
63,somewhere
64,went
65,wrong
66,strong
67,love
68,like
69,song
70,you
71,can't
72,forget
73,instrumental
74,break
75,somewhere
76,went
77,wrong
78,strong
79,love
80,like
81,song
82,you
83,can't
84,forget
85,last
86,pictures
87,burned
88,past
89,lesson
90,we've
91,learned
92,i
93,forget
94,please
95,forget
96,us
97,somewhere
98,went
99,wrong
100,love
101,like
102,song
103,you
104,sing
105,along
106,you've
107,forgotten
108,us
109,forget
