,Without You I'm Nothing_Placebo
0,strange
1,infatuation
2,seems
3,grace
4,evening
5,tide
6,i'll
7,take
8,your
9,side
10,imagination
11,seems
12,help
13,feeling
14,slide
15,i'll
16,take
17,your
18,side
19,instant
20,correlation
21,sucks
22,breeds
23,pack
24,lies
25,i'll
26,take
27,your
28,side
29,oversaturation
30,curls
31,skin
32,tans
33,hide
34,i'll
35,take
36,your
37,side
38,tick
39,tock
40,tick
41,tock
42,tick
43,tock
44,tick
45,tick
46,tick
47,tick
48,tick
49,tock
50,i'm
51,unclean
52,libertine
53,every
54,time
55,you
56,vent
57,your
58,spleen
59,i
60,seem
61,lose
62,power
63,speech
64,you're
65,slipping
66,slowly
67,my
68,reach
69,you
70,grow
71,me
72,like
73,evergreen
74,you've
75,never
76,seen
77,lonely
78,me
79,prechorus
80,i
81,take
82,plan
83,spin
84,sideways
85,i
86,fall
87,without
88,you
89,i'm
90,nothing
91,without
92,you
93,i'm
94,nothing
95,without
96,you
97,i'm
98,nothing
99,take
100,plan
101,spin
102,sideways
103,without
104,you
105,i'm
106,nothing
