,What's My Name?_Rihanna
0,rihanna
1,oh
2,nana
3,what's
4,my
5,name
6,oh
7,nana
8,what's
9,my
10,name
11,oh
12,nana
13,what's
14,my
15,name
16,oh
17,nana
18,what's
19,my
20,name
21,oh
22,nana
23,what's
24,my
25,name
26,what's
27,my
28,name
29,what's
30,my
31,name
32,drake
33,uh
34,yeah
35,i
36,heard
37,you
38,good
39,soft
40,lips
41,yeah
42,you
43,know
44,word
45,mouth
46,square
47,root
48,somethin'
49,right
50,'cause
51,i've
52,tryna
53,work
54,oh
55,uh
56,good
57,weed
58,white
59,wine
60,uh
61,i
62,come
63,alive
64,night
65,time
66,yeah
67,okay
68,away
69,go
70,thing
71,radio
72,let
73,play
74,say
75,you
76,gotta
77,leave
78,i
79,know
80,you
81,wanna
82,stay
83,you
84,waitin'
85,traffic
86,jam
87,finish
88,girl
89,things
90,could
91,twenty
92,minutes
93,girl
94,say
95,my
96,name
97,say
98,my
99,name
100,wear
101,gettin'
102,hot
103,crack
104,window
105,air
106,i
107,get
108,you
109,mighty
110,long
111,day
112,soon
113,you
114,go
115,text
116,i
117,write
118,gon'
119,say
120,rihanna
121,oh
122,nana
123,what's
124,my
125,name
126,oh
127,nana
128,what's
129,my
130,name
131,oh
132,nana
133,what's
134,my
135,name
136,what's
137,my
138,name
139,what's
140,my
141,name
142,rihanna
143,everybody
144,knows
145,work
146,my
147,body
148,knows
149,make
150,me
151,want
152,boy
153,you
154,stay
155,you
156,got
157,somethin'
158,keeps
159,me
160,balance
161,baby
162,you're
163,challenge
164,let's
165,explore
166,your
167,talent
168,refrain
169,rihanna
170,hey
171,boy
172,i
173,really
174,wanna
175,see
176,you
177,go
178,downtown
179,girl
180,like
181,me
182,hey
183,boy
184,i
185,really
186,wanna
187,you
188,'cause
189,you
190,my
191,type
192,ooh
193,na
194,na
195,na
196,na
197,i
198,need
199,boy
200,take
201,lookin'
202,guy
203,put
204,work
205,uh
206,ohhohoh
207,ohhohoh
208,hey
209,boy
210,i
211,really
212,wanna
213,see
214,you
215,go
216,downtown
217,girl
218,like
219,me
220,hey
221,boy
222,i
223,really
224,wanna
225,you
226,'cause
227,you
228,my
229,type
230,ooh
231,na
232,na
233,na
234,na
235,i
236,need
237,boy
238,take
239,lookin'
240,guy
241,put
242,work
243,uh
244,ohhohoh
245,ohhohoh
246,rihanna
247,oh
248,nana
249,what's
250,my
251,name
252,oh
253,nana
254,what's
255,my
256,name
257,oh
258,nana
259,what's
260,my
261,name
262,what's
263,my
264,name
265,what's
266,my
267,name
268,rihanna
269,baby
270,you
271,got
272,me
273,ain't
274,nowhere
275,i'd
276,your
277,arms
278,around
279,me
280,back
281,forth
282,you
283,rock
284,me
285,yeah
286,i
287,surrender
288,every
289,word
290,you
291,whisper
292,every
293,door
294,you
295,enter
296,i
297,let
298,you
299,refrain
300,rihanna
301,hey
302,boy
303,i
304,really
305,wanna
306,see
307,you
308,go
309,downtown
310,girl
311,like
312,me
313,hey
314,boy
315,i
316,really
317,wanna
318,you
319,'cause
320,you
321,my
322,type
323,ooh
324,na
325,na
326,na
327,na
328,i
329,need
330,boy
331,take
332,lookin'
333,guy
334,put
335,work
336,uh
337,ohhohoh
338,ohhohoh
339,rihanna
340,you're
341,amazing
342,you
343,took
344,time
345,figure
346,me
347,that's
348,you
349,take
350,me
351,way
352,past
353,point
354,turnin'
355,me
356,you
357,'bout
358,break
359,me
360,i
361,swear
362,you
363,got
364,me
365,losin'
366,my
367,mind
368,rihanna
369,oh
370,nana
371,what's
372,my
373,name
374,oh
375,nana
376,what's
377,my
378,name
379,oh
380,nana
381,what's
382,my
383,name
384,oh
385,nana
386,what's
387,my
388,name
389,oh
390,nana
391,what's
392,my
393,name
394,what's
395,my
396,name
397,what's
398,my
399,name
400,refrain
401,rihanna
402,hey
403,boy
404,i
405,really
406,wanna
407,see
408,you
409,go
410,downtown
411,girl
412,like
413,me
414,hey
415,boy
416,i
417,really
418,wanna
419,you
420,'cause
421,you
422,my
423,type
424,ooh
425,na
426,na
427,na
428,na
429,i
430,need
431,boy
432,take
433,lookin'
434,guy
435,put
436,work
437,uh
438,ohhohoh
439,ohhohoh
440,hey
441,boy
442,i
443,really
444,wanna
445,see
446,you
447,go
448,downtown
449,girl
450,like
451,me
452,hey
453,boy
454,i
455,really
456,wanna
457,you
458,'cause
459,you
460,my
461,type
462,ooh
463,na
464,na
465,na
466,na
467,i
468,need
469,boy
470,take
471,lookin'
472,guy
473,put
474,work
475,uh
476,ohhohoh
477,ohhohoh
