,Woman_John Lennon
0,half
1,sky
2,woman
3,hardly
4,express
5,mixed
6,emotions
7,thoughtlessness
8,i'm
9,forever
10,debt
11,woman
12,try
13,express
14,inner
15,feelings
16,thankfulness
17,showing
18,meaning
19,success
20,ooh
21,well
22,well
23,doo
24,doo
25,doo
26,doo
27,doo
28,ooh
29,well
30,well
31,doo
32,doo
33,doo
34,doo
35,doo
36,woman
37,know
38,understand
39,little
40,child
41,inside
42,man
43,please
44,remember
45,life
46,hands
47,woman
48,hold
49,close
50,heart
51,however
52,distant
53,keep
54,us
55,apart
56,written
57,stars
58,woman
59,please
60,let
61,explain
62,never
63,meant
64,cause
65,sorrow
66,pain
67,let
68,tell
69,outro
70,love
71,yeah
72,yeah
73,forever
74,love
75,yeah
76,yeah
77,forever
78,love
79,yeah
80,yeah
81,forever
82,love
83,yeah
84,yeah
