,Figure 8_Ellie Goulding
0,breathe
1,your
2,smoke
3,my
4,lungs
5,back
6,car
7,you
8,i
9,stare
10,sun
11,still
12,old
13,die
14,young
15,lovers
16,hold
17,everything
18,lovers
19,hold
20,anything
21,i
22,chased
23,your
24,love
25,around
26,figure
27,i
28,need
29,you
30,i
31,take
32,you
33,promise
34,forever
35,day
36,you
37,take
38,away
39,you
40,take
41,away
42,place
43,kiss
44,my
45,cheekbone
46,you
47,vanish
48,me
49,i'm
50,buried
51,snow
52,something
53,tells
54,me
55,i'm
56,alone
57,lovers
58,hold
59,everything
60,lovers
61,hold
62,anything
63,i
64,chased
65,your
66,love
67,around
68,figure
69,i
70,need
71,you
72,i
73,take
74,you
75,promise
76,forever
77,day
78,you
79,take
80,away
81,you
82,take
83,away
84,lovers
85,hold
86,everything
87,lovers
88,hold
89,anything
90,lovers
91,hold
92,everything
93,lovers
94,hold
95,anything
96,i
97,chased
98,your
99,love
100,around
101,figure
102,i
103,need
104,you
105,i
106,take
107,you
108,promise
109,forever
110,day
111,you
112,take
113,away
114,you
115,take
116,away
