,If You're Not the One_Daniel Bedingfield
0,you're
1,one
2,my
3,soul
4,feel
5,glad
6,today
7,you're
8,one
9,my
10,hand
11,fit
12,yours
13,way
14,you
15,mine
16,your
17,heart
18,return
19,my
20,call
21,you
22,mine
23,would
24,i
25,strength
26,stand
27,prechorus
28,i
29,never
30,know
31,future
32,brings
33,i
34,know
35,you
36,me
37,we'll
38,make
39,i
40,hope
41,you
42,one
43,i
44,share
45,my
46,life
47,i
48,wanna
49,run
50,away
51,i
52,can't
53,take
54,i
55,understand
56,i'm
57,made
58,you
59,my
60,heart
61,tell
62,me
63,i
64,way
65,i
66,stay
67,your
68,arms
69,i
70,need
71,you
72,i
73,crying
74,my
75,bed
76,i
77,need
78,you
79,your
80,name
81,resound
82,my
83,head
84,you're
85,me
86,distance
87,maim
88,my
89,life
90,you're
91,me
92,i
93,dream
94,you
95,my
96,wife
97,prechorus
98,i
99,know
100,you're
101,far
102,away
103,i
104,know
105,much
106,true
107,we'll
108,make
109,i
110,hope
111,you
112,one
113,i
114,share
115,my
116,life
117,i
118,wish
119,you
120,could
121,one
122,i
123,die
124,i
125,pray
126,you're
127,one
128,i
129,build
130,my
131,home
132,i
133,hope
134,i
135,love
136,you
137,my
138,life
139,i
140,wanna
141,run
142,away
143,i
144,can't
145,take
146,i
147,understand
148,i'm
149,made
150,you
151,my
152,heart
153,tell
154,me
155,i
156,way
157,i
158,stay
159,your
160,arms
161,'cause
162,i
163,miss
164,you
165,body
166,soul
167,strong
168,takes
169,my
170,breath
171,away
172,i
173,breathe
174,you
175,my
176,heart
177,pray
178,strength
179,stand
180,today
181,'cause
182,i
183,love
184,you
185,whether
186,wrong
187,right
188,though
189,i
190,can't
191,you
192,tonight
193,you
194,know
195,my
196,heart
197,your
198,side
199,i
200,wanna
201,run
202,away
203,i
204,can't
205,take
206,i
207,understand
208,i'm
209,made
210,you
211,my
212,heart
213,tell
214,me
215,i
216,way
217,i
218,stay
219,your
220,arms
