,Photograph_Ed Sheeran
0,loving
1,hurt
2,loving
3,hurt
4,sometimes
5,thing
6,i
7,know
8,gets
9,hard
10,you
11,know
12,get
13,hard
14,sometimes
15,thing
16,makes
17,us
18,feel
19,alive
20,prechorus
21,keep
22,love
23,photograph
24,made
25,memories
26,eyes
27,never
28,closing
29,hearts
30,never
31,broken
32,time's
33,forever
34,frozen
35,still
36,you
37,keep
38,me
39,inside
40,pocket
41,your
42,ripped
43,jeans
44,holding
45,me
46,close
47,eyes
48,meet
49,you
50,ever
51,alone
52,wait
53,me
54,come
55,home
56,loving
57,heal
58,loving
59,mend
60,your
61,soul
62,thing
63,i
64,know
65,know
66,i
67,swear
68,get
69,easier
70,remember
71,every
72,piece
73,ya
74,thing
75,take
76,us
77,die
78,prechorus
79,keep
80,love
81,photograph
82,made
83,memories
84,eyes
85,never
86,closing
87,hearts
88,never
89,broken
90,time's
91,forever
92,frozen
93,still
94,you
95,keep
96,me
97,inside
98,pocket
99,your
100,ripped
101,jeans
102,holding
103,me
104,close
105,eyes
106,meet
107,you
108,ever
109,alone
110,you
111,hurt
112,me
113,that's
114,okay
115,baby
116,words
117,bleed
118,inside
119,pages
120,you
121,hold
122,me
123,i
124,ever
125,let
126,you
127,go
128,wait
129,me
130,come
131,home
132,wait
133,me
134,come
135,home
136,wait
137,me
138,come
139,home
140,wait
141,me
142,come
143,home
144,oh
145,you
146,fit
147,me
148,inside
149,necklace
150,you
151,got
152,you
153,next
154,your
155,heartbeat
156,i
157,keep
158,deep
159,within
160,your
161,soul
162,you
163,hurt
164,me
165,that's
166,okay
167,baby
168,words
169,bleed
170,inside
171,pages
172,you
173,hold
174,me
175,i
176,ever
177,let
178,you
179,go
180,i'm
181,away
182,i
183,remember
184,you
185,kissed
186,me
187,lamppost
188,back
189,sixth
190,street
191,hearing
192,you
193,whisper
194,phone
195,wait
196,me
197,come
198,home
