,Will You Be There_Michael Jackson
0,hold
1,me
2,like
3,river
4,jordan
5,i
6,say
7,thee
8,you
9,my
10,friend
11,carry
12,me
13,like
14,you
15,my
16,brother
17,love
18,me
19,like
20,mother
21,you
22,weary
23,tell
24,me
25,you
26,hold
27,me
28,wrong
29,you
30,scold
31,me
32,lost
33,you
34,find
35,me
36,told
37,me
38,man
39,faithful
40,walk
41,able
42,fight
43,till
44,end
45,i'm
46,human
47,everyone's
48,taking
49,control
50,me
51,seems
52,world's
53,got
54,role
55,me
56,i'm
57,confused
58,you
59,show
60,me
61,you'll
62,me
63,care
64,enough
65,bear
66,me
67,michael
68,jackson
69,cleveland
70,orchestra
71,hold
72,me
73,show
74,me
75,lay
76,your
77,head
78,lowly
79,told
80,me
81,softly
82,boldly
83,yeah
84,carry
85,me
86,i'm
87,human
88,lead
89,me
90,hold
91,me
92,love
93,me
94,feed
95,me
96,yeah
97,yeah
98,kiss
99,me
100,free
101,me
102,yeah
103,i
104,feel
105,blessed
106,i'm
107,human
108,carry
109,carry
110,carry
111,me
112,boldly
113,carry
114,me
115,lift
116,me
117,slowly
118,yeah
119,carry
120,me
121,i'm
122,human
123,save
124,me
125,lift
126,me
127,heal
128,me
129,bathe
130,me
131,lift
132,me
133,lift
134,me
135,softly
136,you
137,say
138,me
139,i
140,i
141,lift
142,me
143,lift
144,me
145,slowly
146,carry
147,me
148,boldly
149,yeah
150,show
151,me
152,you
153,care
154,hold
155,me
156,woo
157,lay
158,your
159,head
160,lowly
161,gets
162,lonely
163,sometimes
164,i
165,get
166,lonely
167,yeah
168,yeah
169,softly
170,boldly
171,carry
172,me
173,need
174,me
175,woo
176,love
177,me
178,feed
179,me
180,lift
181,me
182,hold
183,me
184,lift
185,me
186,sometimes
187,sometimes
188,kiss
189,me
190,free
191,me
192,i
193,feel
194,blessed
195,spoken
196,darkest
197,hour
198,my
199,deepest
200,despair
201,you
202,still
203,care
204,you
205,my
206,trials
207,my
208,tribulations
209,doubts
210,frustrations
211,my
212,violence
213,my
214,turbulence
215,my
216,fear
217,my
218,confessions
219,my
220,anguish
221,my
222,pain
223,my
224,joy
225,my
226,sorrow
227,promise
228,another
229,tomorrow
230,i'll
231,never
232,let
233,you
234,part
235,you're
236,always
237,my
238,heart
