,Somebody To Love - Remastered 2011_Queen
0,anybody
1,find
2,somebody
3,love
4,ooh
5,morning
6,get
7,die
8,little
9,barely
10,stand
11,feet
12,take
13,look
14,take
15,look
16,mirror
17,cry
18,mirror
19,cry
20,yeah
21,yeah
22,lord
23,spent
24,years
25,believing
26,can't
27,get
28,relief
29,lord
30,somebody
31,somebody
32,ooh
33,somebody
34,somebody
35,anybody
36,find
37,somebody
38,love
39,yeah
40,work
41,hard
42,works
43,hard
44,every
45,day
46,life
47,work
48,'til
49,ache
50,bones
51,end
52,end
53,day
54,take
55,home
56,hard-earned
57,pay
58,goes
59,home
60,goes
61,home
62,get
63,knees
64,knees
65,start
66,pray
67,praise
68,lord
69,'til
70,tears
71,run
72,eyes
73,lord
74,somebody
75,somebody
76,ooh
77,somebody
78,please
79,anybody
80,find
81,somebody
82,love
83,bridge
84,works
85,hard
86,everyday
87,everyday
88,try
89,try
90,try
91,everybody
92,wants
93,put
94,say
95,i'm
96,goin'
97,crazy
98,say
99,got
100,lot
101,water
102,brain
103,got
104,common
105,sense
106,he's
107,got
108,got
109,nobody
110,left
111,believe
112,guitar
113,solo
114,ooh
115,lord
116,ooh
117,somebody
118,ooh
119,somebody
120,anybody
121,find
122,somebody
123,love
124,anybody
125,find
126,someone
127,love
128,got
129,feel
130,got
131,rhythm
132,keep
133,losing
134,beat
135,keep
136,losing
137,losing
138,i'm
139,okay
140,i'm
141,alright
142,he's
143,alright
144,he's
145,alright
146,ain't
147,gonna
148,face
149,defeat
150,yeah
151,yeah
152,gotta
153,get
154,prison
155,cell
156,someday
157,i'm
158,gonna
159,free
160,lord
161,outro
162,find
163,somebody
164,love
165,find
166,somebody
167,love
168,find
169,somebody
170,love
171,find
172,somebody
173,love
174,find
175,somebody
176,love
177,find
178,somebody
179,love
180,find
181,somebody
182,love
183,find
184,somebody
185,love
186,find
187,somebody
188,love
189,find
190,somebody
191,love
192,somebody
193,somebody
194,somebody
195,somebody
196,somebody
197,find
198,somebody
199,find
200,somebody
201,love
202,anybody
203,find
204,somebody
205,love
206,find
207,somebody
208,love
209,ooh
210,find
211,somebody
212,love
213,every
214,somebody
215,find
216,somebody
217,love
218,somebody
219,somebody
220,somebody
221,love
222,find
223,somebody
224,love
225,find
226,find
227,find
228,find
229,find
230,somebody
231,love
232,find
233,somebody
234,love
235,ooh
236,find
237,somebody
238,love
239,somebody
240,find
241,find
242,somebody
243,love
244,find
245,somebody
246,love
247,anybody
248,anywhere
249,anybody
250,find
251,somebody
252,love
253,find
254,find
255,find
