,Legend_Drake
0,produced
1,partynextdoor
2,yeah
3,prechorus
4,pull
5,nigga
6,tell
7,nigga
8,back
9,back
10,i'm
11,good
12,words
13,watch
14,nigga
15,backtrack
16,die
17,know
18,i'm
19,mothafuckin'
20,legend
21,late
22,city
23,i'm
24,youngest
25,nigga
26,reppin'
27,oh
28,god
29,oh
30,god
31,die
32,i'm
33,legend
34,oh
35,god
36,oh
37,god
38,die
39,i'm
40,legend
41,i'm
42,first
43,i'm
44,tour
45,got
46,girl
47,south
48,used
49,work
50,used
51,dance
52,texas
53,clean
54,house
55,everyday
56,strugglin'
57,learn
58,life's
59,way
60,money
61,taught
62,spanish
63,make
64,andale
65,way
66,north
67,packed
68,honda
69,cars
70,know
71,fuck
72,'em
73,pussy
74,niggas
75,shootin'
76,star
77,right
78,wrong
79,i'ma
80,write
81,wrongs
82,can't
83,live
84,long
85,know
86,gonna
87,go
88,got
89,shit
90,mapped
91,strong
92,prechorus
93,pull
94,nigga
95,tell
96,nigga
97,back
98,back
99,i'm
100,good
101,words
102,watch
103,nigga
104,backtrack
105,know
106,die
107,i'm
108,mothafuckin'
109,legend
110,late
111,city
112,i'm
113,youngest
114,nigga
115,reppin'
116,oh
117,god
118,oh
119,god
120,die
121,i'm
122,legend
123,oh
124,god
125,oh
126,god
127,die
128,i'm
129,legend
130,i'm
131,one
132,one
133,feel
134,like
135,one
136,feel
137,like
138,owe
139,one
140,god
141,i'm
142,holy
143,one
144,yeah
145,know
146,wassup
147,yeah
148,minute
149,know
150,sentimental
151,know
152,actin'
153,different
154,can't
155,pretend
156,seen
157,much
158,hard
159,let
160,new
161,people
162,can't
163,change
164,shit
165,set
166,stone
167,can't
168,live
169,long
170,know
171,gonna
172,go
173,got
174,shit
175,mapped
176,strong
177,prechorus
178,pull
179,nigga
180,tell
181,nigga
182,back
183,back
184,i'm
185,good
186,words
187,watch
188,nigga
189,backtrack
190,know
191,die
192,i'm
193,mothafuckin'
194,legend
195,late
196,city
197,i'm
198,youngest
199,nigga
200,reppin'
201,oh
202,god
203,oh
204,god
205,die
206,i'm
207,legend
208,oh
209,god
210,oh
211,god
212,die
213,i'm
214,legend
215,i'm
216,one
