,Now at Last_Feist
0,leslie
1,feist
2,last
3,know
4,fool
5,i've
6,lost
7,last
8,love
9,ever
10,win
11,last
12,see
13,heart
14,blind
15,joys
16,i've
17,left
18,behind
19,wind
20,fresh
21,hills
22,stars
23,new
24,sky
25,lark
26,heard
27,still
28,spring
29,cold
30,robins
31,go
32,makes
33,winters
34,lonely
35,last
36,know
