,Hey There Delilah_Plain White T's
0,hey
1,delilah
2,what's
3,like
4,new
5,york
6,city
7,i'm
8,thousand
9,miles
10,away
11,girl
12,tonight
13,look
14,pretty
15,yes
16,times
17,square
18,can't
19,shine
20,bright
21,swear
22,true
23,hey
24,delilah
25,worry
26,distance
27,i'm
28,right
29,get
30,lonely
31,give
32,song
33,another
34,listen
35,close
36,eyes
37,listen
38,voice
39,disguise
40,i'm
41,side
42,oh
43,oh
44,oh
45,oh
46,hey
47,delilah
48,know
49,times
50,getting
51,hard
52,believe
53,girl
54,someday
55,i'll
56,pay
57,bills
58,guitar
59,we'll
60,good
61,we'll
62,life
63,knew
64,would
65,word
66,good
67,hey
68,delilah
69,i've
70,got
71,much
72,left
73,say
74,every
75,simple
76,song
77,wrote
78,would
79,take
80,breath
81,away
82,i'd
83,write
84,even
85,love
86,fall
87,we'd
88,oh
89,oh
90,oh
91,oh
92,bridge
93,thousand
94,miles
95,seems
96,pretty
97,far
98,they've
99,got
100,planes
101,trains
102,cars
103,i'd
104,walk
105,way
106,friends
107,would
108,make
109,fun
110,us
111,we'll
112,laugh
113,along
114,know
115,none
116,felt
117,way
118,delilah
119,promise
120,time
121,get
122,world
123,never
124,ever
125,blame
126,hey
127,delilah
128,good
129,miss
130,two
131,years
132,done
133,school
134,i'll
135,making
136,history
137,like
138,know
139,whatever
140,want
141,hey
142,delilah
143,here's
144,one's
145,oh
146,oh
147,oh
148,oh
149,oh-oh
150,oh-oh
151,oh-oh
152,oh-oh
