,My Immortal_Evanescence
0,i'm
1,tired
2,suppressed
3,my
4,childish
5,fears
6,you
7,leave
8,i
9,wish
10,you
11,would
12,leave
13,'cause
14,your
15,presence
16,still
17,lingers
18,leave
19,me
20,alone
21,prechorus
22,wounds
23,seem
24,heal
25,pain
26,real
27,there's
28,much
29,time
30,cannot
31,erase
32,you
33,cried
34,i'd
35,wipe
36,away
37,your
38,tears
39,you'd
40,scream
41,i'd
42,fight
43,away
44,your
45,fears
46,i
47,held
48,your
49,hand
50,years
51,you
52,still
53,me
54,you
55,used
56,captivate
57,me
58,your
59,resonating
60,light
61,i'm
62,bound
63,life
64,you
65,left
66,behind
67,your
68,face
69,haunts
70,my
71,pleasant
72,dreams
73,your
74,voice
75,chased
76,away
77,sanity
78,me
79,prechorus
80,wounds
81,seem
82,heal
83,pain
84,real
85,there's
86,much
87,time
88,cannot
89,erase
90,you
91,cried
92,i'd
93,wipe
94,away
95,your
96,tears
97,you'd
98,scream
99,i'd
100,fight
101,away
102,your
103,fears
104,i
105,held
106,your
107,hand
108,years
109,you
110,still
111,me
112,i've
113,tried
114,hard
115,tell
116,myself
117,you're
118,gone
119,though
120,you're
121,still
122,me
123,i've
124,alone
125,along
126,chorusoutro
127,you
128,cried
129,i'd
130,wipe
131,away
132,your
133,tears
134,you'd
135,scream
136,i'd
137,fight
138,away
139,your
140,fears
141,i
142,held
143,your
144,hand
145,years
146,you
147,still
148,me
149,ah
150,me
151,ah
152,me
153,ah
