,A Message_Coldplay
0,my
1,song
2,love
3,love
4,loveless
5,shown
6,goes
7,you
8,alone
9,your
10,heavy
11,heart
12,made
13,stone
14,hard
15,see
16,you
17,clearly
18,you
19,your
20,you
21,your
22,i'm
23,gonna
24,take
25,back
26,i'm
27,gonna
28,say
29,i
30,mean
31,you're
32,target
33,i'm
34,aiming
35,i
36,get
37,message
38,home
39,my
40,song
41,love
42,my
43,song
44,love
45,unknown
46,i'm
47,fire
48,you
49,clearly
50,you
51,alone
52,you
53,your
54,i'm
55,gonna
56,take
57,back
58,i'm
59,gonna
60,say
61,i
62,mean
63,you're
64,target
65,i'm
66,aiming
67,i'm
68,nothing
69,my
70,got
71,get
72,message
73,home
74,i'm
75,gonna
76,stand
77,wait
78,i'm
79,gonna
80,leave
81,much
82,late
83,platform
84,i'm
85,gonna
86,stand
87,say
88,i'm
89,nothing
90,my
91,i
92,love
93,you
94,please
95,come
96,home
97,my
98,song
99,love
100,love
101,unknown
102,i've
103,got
104,get
105,message
106,home
