,Killing Me Softly With His Song_Roberta Flack
0,strumming
1,my
2,pain
3,his
4,fingers
5,singing
6,my
7,life
8,his
9,words
10,killing
11,me
12,softly
13,his
14,song
15,killing
16,me
17,softly
18,his
19,song
20,telling
21,my
22,whole
23,life
24,his
25,words
26,killing
27,me
28,softly
29,his
30,song
31,i
32,heard
33,he
34,sang
35,good
36,song
37,i
38,heard
39,he
40,style
41,i
42,came
43,see
44,him
45,listen
46,he
47,young
48,boy
49,stranger
50,my
51,eyes
52,strumming
53,my
54,pain
55,his
56,fingers
57,singing
58,my
59,life
60,his
61,words
62,killing
63,me
64,softly
65,his
66,song
67,killing
68,me
69,softly
70,his
71,song
72,telling
73,my
74,whole
75,life
76,his
77,words
78,killing
79,me
80,softly
81,his
82,song
83,i
84,felt
85,flushed
86,fever
87,embarassed
88,crowd
89,i
90,felt
91,he
92,found
93,my
94,letters
95,read
96,one
97,loud
98,i
99,prayed
100,he
101,would
102,finish
103,he
104,kept
105,right
106,strumming
107,my
108,pain
109,his
110,fingers
111,singing
112,my
113,life
114,his
115,words
116,killing
117,me
118,softly
119,his
120,song
121,killing
122,me
123,softly
124,his
125,song
126,telling
127,my
128,whole
129,life
130,his
131,words
132,killing
133,me
134,softly
135,his
136,song
137,he
138,sang
139,he
140,knew
141,me
142,my
143,dark
144,despair
145,he
146,looked
147,right
148,me
149,i
150,he
151,kept
152,singing
153,singing
154,clear
155,strong
156,strumming
157,my
158,pain
159,his
160,fingers
161,singing
162,my
163,life
164,his
165,words
166,killing
167,me
168,softly
169,his
170,song
171,killing
172,me
173,softly
174,his
175,song
176,telling
177,my
178,whole
179,life
180,his
181,words
182,killing
183,me
184,softly
185,his
186,song
187,ohhhh
188,ohhhh
189,ohhhh
190,ohh
191,ohh
192,ohh
193,ohh
194,ohh
195,ohh
196,ohh
197,la
198,la
199,la
200,la
201,la
202,la
203,ohh
204,ohh
205,ohh
206,ohh
207,ohh
208,ohh
209,la
210,ahh
211,ahhhhhh
212,haaaaaaaaaaaaaa
213,ha
214,ahh
215,ahh
216,ahh
217,ahh
218,ahh
219,ahh
220,strumming
221,my
222,pain
223,his
224,fingers
225,singing
226,my
227,life
228,his
229,words
230,killing
231,me
232,softly
233,his
234,song
235,killing
236,me
237,softly
238,his
239,song
240,telling
241,my
242,whole
243,life
244,his
245,words
246,killing
247,me
248,softly
249,he
250,strumming
251,my
252,pain
253,yeah
254,he
255,singing
256,my
257,life
258,killing
259,me
260,softly
261,his
262,song
263,killing
264,me
265,softly
266,his
267,song
268,telling
269,my
270,whole
271,life
272,his
273,words
274,killing
275,me
276,softly
277,his
278,song
