,Hear You Me_Jimmy Eat World
0,there's
1,one
2,town
3,know
4,gave
5,us
6,place
7,go
8,never
9,said
10,thank
11,thought
12,might
13,get
14,one
15,chance
16,would
17,think
18,lucky
19,strong
20,proud
21,never
22,said
23,thank
24,i'll
25,never
26,chance
27,may
28,angels
29,lead
30,hear
31,friends
32,sleepless
33,roads
34,sleepless
35,go
36,may
37,angels
38,lead
39,instrumental
40,would
41,think
42,lucky
43,strong
44,proud
45,never
46,said
47,thank
48,i'll
49,never
50,chance
51,may
52,angels
53,lead
54,hear
55,friends
56,sleepless
57,roads
58,sleepless
59,go
60,may
61,angels
62,lead
63,may
64,angels
65,lead
66,may
67,angels
68,lead
69,may
70,angels
71,lead
72,may
73,angels
74,lead
75,instrumental
76,tonight
77,i'd
78,sing
79,one
80,time
81,song
82,heart
83,big
84,god
85,let
86,live
87,may
88,angels
89,lead
90,hear
91,friends
92,sleepless
93,roads
94,sleepless
95,go
96,may
97,angels
98,lead
99,may
100,angels
101,lead
102,hear
103,friends
104,sleepless
105,roads
106,sleepless
107,go
108,may
109,angels
110,lead
111,sleepless
112,roads
113,sleepless
114,go
115,may
116,angels
117,lead
