,High_James Blunt
0,beautiful
1,dawn
2,lights
3,shore
4,nothing
5,else
6,world
7,i'd
8,rather
9,wake
10,see
11,beautiful
12,dawn
13,i'm
14,chasing
15,time
16,thought
17,would
18,die
19,lonely
20,man
21,endless
22,night
23,i'm
24,high
25,running
26,wild
27,among
28,stars
29,sometimes
30,hard
31,believe
32,remember
33,beautiful
34,dawn
35,beautiful
36,dawn
37,melt
38,stars
39,remember
40,day
41,journey
42,began
43,remember
44,end
45,time
46,beautiful
47,dawn
48,beautiful
49,dawn
50,blowing
51,mind
52,thought
53,born
54,endless
55,night
56,shine
57,high
58,running
59,wild
60,among
61,stars
62,sometimes
63,hard
64,believe
65,remember
66,shoulder
67,i'm
68,grey
69,older
70,promise
71,tomorrow
72,starts
73,getting
74,high
75,running
76,wild
77,among
78,stars
79,sometimes
80,hard
81,believe
82,remember
83,high
84,running
85,wild
86,among
87,stars
88,sometimes
89,hard
90,believe
91,remember
