,Nothing Compares 2 U_Sinéad O'Connor
0,seven
1,hours
2,fifteen
3,days
4,since
5,took
6,love
7,away
8,go
9,every
10,night
11,sleep
12,day
13,since
14,took
15,love
16,away
17,since
18,gone
19,whatever
20,want
21,see
22,whomever
23,choose
24,eat
25,dinner
26,fancy
27,restaurant
28,nothing
29,said
30,nothing
31,take
32,away
33,blues
34,'cause
35,nothing
36,compares
37,nothing
38,compares
39,lonely
40,without
41,like
42,bird
43,without
44,song
45,nothing
46,stop
47,lonely
48,tears
49,falling
50,tell
51,baby
52,go
53,wrong
54,could
55,put
56,arms
57,around
58,every
59,boy
60,see
61,they'd
62,remind
63,went
64,doctor
65,guess
66,told
67,guess
68,told
69,said
70,"""girl"
71,better
72,try
73,fun
74,matter
75,"do"""
76,he's
77,fool
78,'cause
79,nothing
80,compares
81,nothing
82,compares
83,interlude
84,bridge
85,flowers
86,planted
87,mama
88,back
89,yard
90,died
91,went
92,away
93,know
94,living
95,baby
96,sometimes
97,hard
98,i'm
99,willing
100,give
101,another
102,try
103,outro
104,nothing
105,compares
106,nothing
107,compares
108,nothing
109,compares
110,nothing
111,compares
112,nothing
113,compares
114,nothing
115,compares
