,Nothing's Gonna Hurt You Baby_Cigarettes After Sex
0,whispered
1,something
2,your
3,ear
4,perverted
5,thing
6,say
7,i
8,said
9,anyway
10,made
11,you
12,smile
13,look
14,away
15,nothing's
16,gonna
17,hurt
18,you
19,baby
20,long
21,you're
22,me
23,you'll
24,fine
25,nothing's
26,gonna
27,hurt
28,you
29,baby
30,nothing's
31,gonna
32,take
33,you
34,my
35,side
36,dance
37,my
38,living
39,room
40,silly
41,90's
42,rb
43,drink
44,three
45,always
46,ends
47,hazy
48,shower
49,scene
50,nothing's
51,gonna
52,hurt
53,you
54,baby
55,long
56,you're
57,me
58,you'll
59,fine
60,nothing's
61,gonna
62,hurt
63,you
64,baby
65,nothing's
66,gonna
67,take
68,you
69,my
70,side
71,laugh
72,microphone
73,singing
74,sunglasses
75,favorite
76,songs
77,we're
78,laughing
79,microphone
80,singing
81,sunglasses
82,favorite
83,songs
84,nothing's
85,gonna
86,hurt
87,you
88,baby
89,nothing's
90,gonna
91,take
92,you
93,my
94,side
