,Daughters of the Soho Riots_The National
0,i
1,your
2,good
3,clothes
4,car
5,cut
6,your
7,hair
8,one
9,knows
10,i
11,your
12,dreams
13,your
14,teethmarks
15,my
16,fingernails
17,painted
18,i'm
19,take
20,you
21,you
22,right
23,end
24,make
25,difference
26,everything
27,i
28,remember
29,i
30,remember
31,wrong
32,anybody
33,know
34,got
35,way
36,you
37,must
38,known
39,i'd
40,someday
41,break
42,my
43,arms
44,around
45,one
46,i
47,love
48,forgiven
49,time
50,my
51,lover
52,comes
53,break
54,my
55,arms
56,around
57,my
58,love
59,break
60,my
61,arms
62,around
63,one
64,i
65,love
66,forgiven
67,time
68,my
69,lover
70,comes
71,break
72,my
73,arms
74,around
75,my
76,love
77,i
78,questions
79,i
80,think
81,gonna
82,rain
83,you
84,right
85,end
86,make
87,difference
88,i'm
89,take
90,you
91,among
92,missing
93,sons
94,daughters
95,soho
96,riots
97,among
98,missing
99,sons
100,daughters
101,soho
102,riots
103,i'm
104,take
105,you
106,anybody
107,know
108,got
109,way
110,you
111,must
112,known
113,i'd
114,someday
115,break
116,my
117,arms
118,around
119,one
120,i
121,love
122,forgiven
123,time
124,my
125,lover
126,comes
127,break
128,my
129,arms
130,around
131,my
132,love
133,break
134,my
135,arms
136,around
137,one
138,i
139,love
140,forgiven
141,time
142,my
143,lover
144,comes
145,break
146,my
147,arms
148,around
149,my
150,love
151,break
152,my
153,arms
154,around
155,one
156,i
157,love
