,I'm a Lady (feat. Trouble Andrew)_Santigold
0,won’t
1,you
2,run
3,tell
4,your
5,boyfriend
6,tell
7,him
8,don’t
9,hold
10,his
11,breath
12,me
13,i
14,got
15,money
16,i
17,saving
18,got
19,hearts
20,i’ll
21,breakin
22,know
23,someday
24,they’ll
25,make
26,martyr
27,me
28,i
29,know
30,someday
31,they’ll
32,make
33,martyr
34,me
35,she’s
36,fine
37,i
38,like
39,sometimes
40,wave
41,high
42,everyone
43,see
44,i’m
45,lady
46,got
47,my
48,mind
49,made
50,got
51,my
52,mind
53,made
54,i
55,know
56,i
57,spend
58,magic
59,reel
60,try
61,hold
62,light
63,me
64,i’m
65,lady
66,got
67,my
68,mind
69,made
70,got
71,my
72,mind
73,made
74,i
75,like
76,watch
77,way
78,wind
79,blows
80,know
81,i
82,don’t
83,yet
84,ooh
85,oh
86,look
87,pretty
88,you’re
89,sweet
90,see
91,far
92,you
93,get
94,see
95,far
96,you
97,get
98,she’s
99,fine
100,dream’s
101,gone
102,dream’s
103,gone
104,one
105,said
106,one
107,said
108,make
109,something
110,what’s
111,your
112,head
113,dream’s
114,gone
115,dream’s
116,gone
