,Don't You Remember_Adele
0,i
1,see
2,you
3,you
4,left
5,goodbye
6,single
7,word
8,said
9,final
10,kiss
11,seal
12,seams
13,i
14,idea
15,state
16,prechorus
17,i
18,know
19,i
20,fickle
21,heart
22,bitterness
23,wandering
24,eye
25,heaviness
26,my
27,head
28,you
29,remember
30,you
31,remember
32,reason
33,you
34,loved
35,me
36,baby
37,please
38,remember
39,me
40,last
41,time
42,you
43,thought
44,me
45,you
46,completely
47,erased
48,me
49,your
50,memory
51,i
52,often
53,think
54,i
55,went
56,wrong
57,i
58,less
59,i
60,know
61,prechorus
62,i
63,know
64,i
65,fickle
66,heart
67,bitterness
68,wandering
69,eye
70,heaviness
71,my
72,head
73,you
74,remember
75,you
76,remember
77,reason
78,you
79,loved
80,me
81,baby
82,please
83,remember
84,me
85,gave
86,you
87,space
88,you
89,could
90,breathe
91,i
92,kept
93,my
94,distance
95,you
96,would
97,free
98,hope
99,you
100,find
101,missing
102,piece
103,bring
104,you
105,back
106,me
107,you
108,remember
109,you
110,remember
111,reason
112,you
113,loved
114,me
115,baby
116,please
117,remember
118,me
119,i
120,see
121,you
