,All My Little Words_The Magnetic Fields
0,you
1,splendid
2,butterfly
3,your
4,wings
5,make
6,you
7,beautiful
8,i
9,could
10,make
11,you
12,fly
13,away
14,i
15,could
16,make
17,you
18,fly
19,away
20,i
21,could
22,never
23,make
24,you
25,stay
26,you
27,said
28,you
29,love
30,me
31,you
32,said
33,you
34,love
35,me
36,us
37,know
38,that's
39,impossible
40,i
41,could
42,make
43,you
44,rue
45,day
46,rue
47,day
48,i
49,could
50,never
51,make
52,you
53,stay
54,tea
55,china
56,i
57,could
58,sing
59,like
60,bird
61,north
62,carolina
63,my
64,little
65,words
66,i
67,could
68,write
69,you
70,sweetest
71,song
72,you
73,ever
74,heard
75,matter
76,i
77,matter
78,i
79,my
80,little
81,words
82,solo
83,you've
84,made
85,me
86,want
87,die
88,you
89,tell
90,me
91,you're
92,unboyfriendable
93,i
94,could
95,make
96,you
97,pay
98,pain
99,pay
100,pain
101,i
102,could
103,never
104,make
105,you
106,stay…
107,tea
108,china
109,i
110,could
111,sing
112,like
113,bird
114,north
115,carolina
116,my
117,little
118,words
119,i
120,could
121,write
122,you
123,sweetest
124,song
125,you
126,ever
127,heard
128,matter
129,i
130,matter
131,i
132,my
133,little
134,words
135,matter
136,i
137,matter
138,i
139,my
140,little
141,words
