,You're All I Have_Snow Patrol
0,ooh
1,ooh
2,ooh
3,ooh
4,strain
5,chaos
6,turn
7,light
8,i've
9,gotta
10,see
11,you
12,one
13,last
14,night
15,lions
16,take
17,share
18,leave
19,us
20,pieces
21,scattered
22,everywhere
23,give
24,me
25,chance
26,hold
27,give
28,me
29,chance
30,hold
31,give
32,me
33,chance
34,hold
35,give
36,me
37,something
38,hold
39,onto
40,clear
41,you
42,i
43,ooh
44,i
45,fear
46,'cause
47,you
48,i
49,ooh
50,clear
51,you
52,i
53,ooh
54,i
55,fear
56,'cause
57,you
58,i
59,ooh
60,you're
61,cinematic
62,razor
63,sharp
64,welcome
65,arrow
66,heart
67,your
68,skin
69,feels
70,like
71,home
72,electric
73,shocks
74,aching
75,bones
76,give
77,me
78,chance
79,hold
80,give
81,me
82,chance
83,hold
84,give
85,me
86,chance
87,hold
88,give
89,me
90,something
91,hold
92,onto
93,clear
94,you
95,i
96,ooh
97,i
98,fear
99,'cause
100,you
101,i
102,ooh
103,clear
104,you
105,i
106,ooh
107,i
108,fear
109,'cause
110,you
111,i
112,ooh
113,darkness
114,deep
115,you
116,frightening
117,magic
118,i
119,cling
120,give
121,me
122,chance
123,hold
124,give
125,me
126,chance
127,hold
128,give
129,me
130,chance
131,hold
132,give
133,me
134,something
135,hold
136,onto
137,clear
138,you
139,i
140,ooh
141,i
142,fear
143,'cause
144,you
145,i
146,ooh
147,clear
148,you
149,i
150,ooh
151,i
152,fear
153,you
154,i
155,ooh
156,ooh
157,ooh
158,ooh
