,Suspicious Minds_Elvis Presley
0,we're
1,caught
2,trap
3,i
4,can't
5,walk
6,i
7,love
8,you
9,much
10,baby
11,can't
12,you
13,see
14,you're
15,me
16,you
17,believe
18,word
19,i
20,say
21,can't
22,go
23,together
24,suspicious
25,minds
26,suspicious
27,minds
28,can't
29,build
30,dreams
31,suspicious
32,minds
33,old
34,friend
35,i
36,know
37,stops
38,say
39,hello
40,would
41,i
42,still
43,see
44,suspicion
45,your
46,eyes
47,go
48,asking
49,i've
50,you
51,can't
52,see
53,tears
54,real
55,i'm
56,crying
57,yes
58,i'm
59,crying
60,can't
61,go
62,together
63,suspicious
64,minds
65,suspicious
66,minds
67,can't
68,build
69,dreams
70,suspicious
71,minds
72,oh
73,let
74,love
75,survive
76,i'll
77,dry
78,tears
79,your
80,eyes
81,let's
82,let
83,good
84,thing
85,die
86,honey
87,you
88,know
89,i've
90,never
91,lied
92,you
93,we're
94,caught
95,trap
96,i
97,can't
98,walk
99,i
100,love
101,you
102,much
103,baby
104,can't
105,you
106,see
107,you're
108,me
109,you
110,believe
111,word
112,i
113,say
114,well
115,you
116,know
117,i'm
118,caught
119,trap
120,i
121,can't
122,walk
123,i
124,love
125,you
126,much
127,baby
128,well
129,you
130,know
131,i'm
132,caught
133,trap
134,i
135,can't
136,walk
137,i
138,love
139,you
140,much
141,baby
142,well
143,you
144,know
145,i'm
146,caught
147,trap
148,i
149,can't
150,walk
151,i
152,love
153,you
154,much
155,baby
156,well
157,you
158,know
159,i'm
160,caught
161,trap
162,i
163,can't
164,walk
165,i
166,love
167,you
168,much
169,baby
170,well
171,you
172,know
173,i'm
174,caught
175,trap
176,i
177,can't
178,walk
179,i
180,love
181,you
182,much
183,baby
