,In God's Hands_Nelly Furtado
0,looked
1,face
2,saw
3,love
4,died
5,saw
6,forgotten
7,take
8,time
9,saw
10,care
11,less
12,care
13,less
14,lies
15,find
16,time
17,cry
18,pre-chorus
19,forgot
20,love
21,forgot
22,faith
23,forgot
24,trust
25,forgot
26,us
27,love's
28,floating
29,window
30,love's
31,floating
32,back
33,door
34,love's
35,floating
36,sky
37,heaven
38,began
39,back
40,god's
41,hands
42,said
43,said
44,say
45,said
46,baby
47,end
48,day
49,gave
50,lot
51,enough
52,got
53,tired
54,gave
55,love's
56,floating
57,window
58,love's
59,floating
60,back
61,door
62,love's
63,floating
64,sky
65,heaven
66,began
67,back
68,god's
69,hands
70,bridge
71,respect
72,went
73,neglected
74,deserve
75,never
76,expected
77,love
78,floated
79,window
80,love
81,floated
82,back
83,door
84,love
85,floated
86,sky
87,heaven
88,part
89,plan
90,back
91,god's
92,hands
93,back
94,god's
95,hands
96,outro
97,oh
98,last
99,thing
100,past
101,understand
102,oh
103,oh
104,want
105,back
106,want
107,back
108,oh
