,The Writer_Ellie Goulding
0,1ellie
1,goulding
2,you
3,wait
4,silence
5,i
6,wait
7,word
8,lie
9,next
10,your
11,frame
12,girl
13,unobserved
14,you
15,change
16,your
17,position
18,you
19,changing
20,me
21,casting
22,shadows
23,prechorusellie
24,goulding
25,we're
26,interrupted
27,heat
28,sun
29,trying
30,prevent
31,what's
32,already
33,begun
34,you're
35,body
36,i
37,smell
38,your
39,skin
40,i
41,feel
42,you're
43,wearing
44,thin
45,chorusellie
46,goulding
47,i've
48,got
49,plan
50,you
51,artist
52,make
53,me
54,clay
55,you
56,writer
57,decide
58,words
59,i
60,say
61,i'd
62,rather
63,pretend
64,i'll
65,still
66,end
67,hard
68,ask
69,you
70,try
71,help
72,me
73,2ellie
74,goulding
75,sat
76,your
77,sofa
78,broken
79,springs
80,place
81,violin
82,strings
83,i
84,try
85,smile
86,i
87,aim
88,you
89,you
90,must
91,missed
92,you
93,always
94,chorusellie
95,goulding
96,i've
97,got
98,plan
99,you
100,artist
101,make
102,me
103,clay
104,you
105,writer
106,decide
107,words
108,i
109,say
110,i'd
111,rather
112,pretend
113,i'll
114,still
115,end
116,hard
117,ask
118,you
119,try
120,help
121,me
122,bridgeellie
123,goulding
124,you
125,wait
126,i
127,wait
128,casting
129,shadows
130,interrupted
131,you
132,wait
133,i
134,wait
135,casting
136,shadows
137,interrupted
138,you
139,wait
140,i
141,wait
142,casting
143,shadows
144,interrupted
145,you
146,wait
147,i
148,wait
149,casting
150,shadows
151,ellie
152,goulding
153,i've
154,got
155,plan
156,you
157,artist
158,make
159,me
160,clay
161,you
162,writer
163,decide
164,words
165,i
166,say
167,i'd
168,rather
169,pretend
170,i'll
171,still
172,end
173,hard
174,ask
175,you
176,try
177,help
178,me
179,ellie
180,goulding
181,i've
182,got
183,plan
184,don’t
185,you
186,artist
187,make
188,me
189,clay
190,don’t
191,you
192,writer
193,decide
194,words
195,i
196,say
197,‘cause
198,i’d
199,rather
200,pretend
201,i’ll
202,still
203,end
204,it’s
205,hard
206,ask
207,you
208,try
209,help
210,me
