,Kiss Me_Ed Sheeran
0,adlibs
1,one
2,two
3,three
4,four
5,settle
6,me
7,cover
8,me
9,cuddle
10,me
11,lie
12,me
13,hold
14,me
15,your
16,arms
17,prechorus
18,your
19,heart's
20,against
21,my
22,chest
23,your
24,lips
25,pressed
26,my
27,neck
28,i'm
29,falling
30,your
31,eyes
32,know
33,me
34,yet
35,feeling
36,i'll
37,forget
38,i'm
39,love
40,kiss
41,me
42,like
43,you
44,wanna
45,loved
46,you
47,wanna
48,loved
49,you
50,wanna
51,loved
52,feels
53,like
54,falling
55,love
56,we're
57,falling
58,love
59,we're
60,falling
61,love
62,settle
63,me
64,i'll
65,your
66,safety
67,you'll
68,my
69,lady
70,i
71,made
72,keep
73,your
74,body
75,warm
76,i'm
77,cold
78,wind
79,blows
80,hold
81,me
82,your
83,arms
84,oh
85,prechorus
86,my
87,heart’s
88,against
89,your
90,chest
91,your
92,lips
93,pressed
94,my
95,neck
96,i'm
97,falling
98,your
99,eyes
100,know
101,me
102,yet
103,feeling
104,i'll
105,forget
106,i'm
107,love
108,kiss
109,me
110,like
111,you
112,wanna
113,loved
114,you
115,wanna
116,loved
117,you
118,wanna
119,loved
120,feels
121,like
122,falling
123,love
124,we're
125,falling
126,love
127,we're
128,falling
129,love
130,guitar
131,solo
132,yeah
133,i've
134,feeling
135,everything
136,hate
137,love
138,love
139,lust
140,lust
141,truth
142,i
143,guess
144,that's
145,i
146,know
147,you
148,i
149,hold
150,you
151,close
152,help
153,you
154,give
155,kiss
156,me
157,like
158,you
159,wanna
160,loved
161,you
162,wanna
163,loved
164,you
165,wanna
166,loved
167,feels
168,like
169,falling
170,love
171,we're
172,falling
173,love
174,we're
175,falling
176,love
177,kiss
178,me
179,like
180,you
181,wanna
182,loved
183,you
184,wanna
185,loved
186,you
187,wanna
188,loved
189,feels
190,like
191,falling
192,love
193,we're
194,falling
195,love
196,falling
197,love
