,Pitseleh_Elliott Smith
0,i'll
1,tell
2,you
3,i
4,want
5,know
6,you
7,i
8,got
9,joke
10,i've
11,dying
12,tell
13,you
14,silent
15,kid
16,looking
17,barrel
18,make
19,noise
20,i
21,kept
22,quiet
23,kept
24,you
25,pitseleh
26,i'm
27,what's
28,missing
29,your
30,life
31,i
32,could
33,never
34,puzzle
35,pieces
36,you
37,say
38,god
39,makes
40,problems
41,see
42,you
43,stand
44,you
45,devil
46,pleases
47,give
48,thing
49,you
50,love
51,one
52,deserves
53,first
54,time
55,i
56,saw
57,you
58,i
59,knew
60,would
61,never
62,last
63,i'm
64,half
65,i
66,wish
67,i
68,i'm
69,angry
70,i
71,think
72,it'll
73,ever
74,pass
75,i
76,bad
77,news
78,you
79,i
80,never
81,meant
82,hurt
83,you
