,Winter_Daughter
0,drifting
1,apart
2,like
3,two
4,sheets
5,ice
6,love
7,frozen
8,hearts
9,growing
10,colder
11,time
12,there's
13,heat
14,mouths
15,please
16,take
17,back
18,flames
19,needed
20,needed
21,run
22,veins
23,like
24,disease
25,disease
26,strange
27,strangers
28,need
29,need
30,different
31,gray
32,faced
33,eyes
34,burnt
35,flames
36,gone
37,gloves
38,feeling
39,love's
40,gone
41,mad
42,we're
43,similar
44,losing
45,minds
46,cabin
47,fever
48,shut
49,confined
50,spaces
51,lost
52,dark
53,heart
54,taken
55,resting
56,heart
57,flames
58,needed
59,needed
60,run
61,veins
62,like
63,disease
64,disease
65,strange
66,strangers
67,wait
68,degrade
69,go
70,killing
71,prey
72,waste
73,daylight
74,speaks
75,slumber's
76,keeping
77,bed
78,revenge
79,i'm
80,derailing
81,youth
82,stained
83,sheets
84,piece
85,piece
86,oh
87,winter
88,come
89,oh
90,winter
91,crush
92,things
93,loved
94,winter
95,come
96,winter
97,crush
98,things
