,Shots_Imagine Dragons
0,introduction
1,smoke
2,+
3,mirrors
4,i'm
5,sorry
6,everything
7,oh
8,everything
9,i've
10,done
11,touch
12,place
13,keep
14,sayin'
15,i'm
16,lookin'
17,empty
18,space
19,oh
20,i'm
21,wishin'
22,i'm
23,wishin'
24,gone
25,can't
26,i'm
27,gonna
28,wrong
29,refrain
30,oh
31,i'm
32,gonna
33,mess
34,oh
35,luck
36,i'm
37,sorry
38,everything
39,oh
40,everything
41,i've
42,done
43,second
44,born
45,seems
46,loaded
47,gun
48,shot
49,shot
50,shot
51,hole
52,everything
53,loved
54,oh
55,shot
56,shot
57,shot
58,hole
59,every
60,single
61,thing
62,loved
63,luck
64,waiting
65,break
66,keep
67,sayin'
68,i'm
69,lookin'
70,way
71,escape
72,oh
73,i'm
74,wishin'
75,i'd
76,taken
77,granted
78,can't
79,help
80,i'm
81,gonna
82,wrong
83,refrain
84,oh
85,i'm
86,gonna
87,mess
88,oh
89,luck
90,i'm
91,sorry
92,everything
93,oh
94,everything
95,i've
96,done
97,second
98,born
99,seems
100,loaded
101,gun
102,shot
103,shot
104,shot
105,hole
106,everything
107,loved
108,oh
109,shot
110,shot
111,shot
112,hole
113,every
114,single
115,thing
116,loved
117,bridge
118,meantime
119,let
120,go
121,roadside
122,used
123,know
124,let
125,drift
126,away
127,oh
128,let
129,drift
130,away
131,bay
132,side
133,used
134,show
135,moonlight
136,let
137,go
138,let
139,drift
140,away
141,oh
142,let
143,drift
144,away
145,there's
146,always
147,time
148,change
149,mind
150,oh
151,there's
152,always
153,time
154,change
155,mind
156,oh
157,love
158,hear
159,oh
160,let
161,drift
162,away
163,i'm
164,sorry
165,everything
166,oh
167,everything
168,i've
169,done
170,second
171,born
172,seems
173,loaded
174,gun
175,shot
176,shot
177,shot
178,hole
179,everything
180,loved
181,oh
182,shot
183,shot
184,shot
185,hole
186,oh
187,let
188,make
189,every
190,single
191,thing
192,loved
193,let
194,make
195,outro
196,meantime
197,let
198,go
199,roadside
200,used
201,know
202,let
203,drift
204,away
205,oh
206,let
207,drift
208,away
209,bay
210,side
211,used
212,show
213,moonlight
214,let
215,go
216,let
217,drift
218,away
219,oh
220,let
221,drift
222,away
223,let
224,make
225,'cause
226,always
227,got
228,change
229,mind
230,'cause
231,always
232,got
233,change
234,mind
235,oh
236,love
237,hear
238,oh
239,let
240,drift
241,away
