,A Letter To Elise_The Cure
0,oh
1,elise
2,matter
3,you
4,say
5,i
6,can't
7,stay
8,every
9,yesterday
10,like
11,keep
12,acting
13,way
14,act
15,every
16,way
17,smile
18,forget
19,makebelieve
20,never
21,needed
22,oh
23,elise
24,matter
25,you
26,i
27,know
28,i'll
29,never
30,really
31,get
32,inside
33,you
34,make
35,your
36,eyes
37,catch
38,fire
39,way
40,way
41,blue
42,could
43,pull
44,me
45,would
46,would
47,least
48,i'd
49,lose
50,sense
51,sensing
52,something
53,else
54,hides
55,away
56,me
57,you
58,worlds
59,part
60,aching
61,looks
62,breaking
63,hearts
64,prayers
65,your
66,hands
67,make
68,oh
69,i
70,take
71,much
72,you
73,throw
74,throw
75,away
76,oh
77,i'll
78,throw
79,away
80,like
81,throwing
82,faces
83,sky
84,like
85,throwing
86,arms
87,round
88,yesterday
89,i
90,stood
91,stared
92,wideeyed
93,front
94,you
95,face
96,i
97,saw
98,looked
99,back
100,way
101,i
102,wanted
103,i
104,can't
105,hold
106,my
107,tears
108,away
109,way
110,you
111,elise
112,believe
113,i
114,never
115,wanted
116,i
117,thought
118,time
119,i'd
120,keep
121,my
122,promises
123,i
124,thought
125,you
126,girl
127,i
128,always
129,dreamed
130,i
131,let
132,dream
133,go
134,promises
135,broke
136,makebelieve
137,ran
138,elise
139,matter
140,you
141,say
142,i
143,can't
144,stay
145,every
146,yesterday
147,like
148,keep
149,acting
150,way
151,act
152,every
153,way
154,smile
155,forget
156,makebelieve
157,never
158,needed
159,every
160,time
161,i
162,try
163,pick
164,like
165,falling
166,sand
167,fast
168,i
169,pick
170,runs
171,away
172,my
173,clutching
174,hands
175,there's
176,nothing
177,else
178,i
179,really
180,there's
181,nothing
182,else
183,i
184,really
185,there's
186,nothing
187,else
188,i
189,really
