,Ladies and Gentlemen We Are Floating in Space_Spiritualized
0,ladies
1,gentlemen
2,floating
3,space
4,want
5,life's
6,little
7,bit
8,love
9,take
10,pain
11,away
12,getting
13,strong
14,today
15,giant
16,step
17,day
18,wise
19,men
20,say
21,fools
22,rush
23,fools
24,rush
25,can't
26,help
27,can't
28,help
29,falling
30,falling
31,love
32,love
33,'til
34,die
35,love
36,time
37,please
38,put
39,sweet
40,hand
41,mine
42,float
43,space
44,drift
45,time
46,time
47,die
48,we'll
49,float
50,space
51,baby
52,love
53,today
54,guess
55,that's
56,want
57,know
58,going
59,life
60,get
61,stranger
62,know
63,going
64,everything
65,happens
66,today
67,we're
68,space
69,know
70,going
71,baby
72,love
73,today
74,guess
75,that's
76,want
77,know
78,going
