,If Not for You_Bob Dylan
0,babe
1,couldn’t
2,find
3,door
4,couldn’t
5,even
6,see
7,floor
8,i’d
9,sad
10,blue
11,babe
12,i’d
13,lay
14,awake
15,night
16,wait
17,morning
18,light
19,shine
20,would
21,new
22,sky
23,would
24,fall
25,rain
26,would
27,gather
28,without
29,love
30,i’d
31,nowhere
32,i’d
33,lost
34,know
35,it’s
36,true
37,sky
38,would
39,fall
40,rain
41,would
42,gather
43,without
44,love
45,i’d
46,nowhere
47,oh
48,would
49,winter
50,would
51,spring
52,couldn’t
53,hear
54,robin
55,sing
56,wouldn’t
57,clue
58,anyway
59,wouldn’t
60,ring
61,true
