,I Won't Share You_The Smiths
0,share
1,share
2,drive
3,ambition
4,zeal
5,feel
6,time
7,note
8,wrote
9,read
10,said
11,"""has"
12,perrier
13,gone
14,straight
15,head
16,life
17,sick
18,cruel
19,"instead"""
20,"""yes"""
21,-
22,-
23,-
24,-
25,-
26,-
27,-
28,-
29,-
30,-
31,oh
32,share
33,share
34,drive
35,dreams
36,inside
37,time
38,life
39,tends
40,come
41,go
42,that's
43,okay
44,long
45,know
46,life
47,tends
48,come
49,go
50,long
51,know
52,know
53,know
54,know
55,know
56,know
57,know
58,know
59,know
60,know
61,oh
62,share
63,share
64,drive
65,dreams
66,inside
67,time
68,want
69,freedom
70,want
71,guile
72,want
73,freedom
74,guile
75,oh
76,life
77,tends
78,come
79,go
80,long
81,know
82,know
83,know
84,know
85,know
86,know
87,know
88,know
89,know
90,oh
91,share
92,share
93,i'll
94,see
95,somewhere
96,i'll
97,see
98,sometime
99,darling
