,Into You_Ariana Grande
0,i'm
1,you
2,i
3,barely
4,breathe
5,i
6,wanna
7,fall
8,deep
9,close
10,ain't
11,close
12,enough
13,'til
14,cross
15,line
16,hey
17,yeah
18,name
19,game
20,play
21,i'll
22,roll
23,dice
24,hey
25,prechorus
26,oh
27,baby
28,look
29,you
30,started
31,temperature's
32,rising
33,gonna
34,happen
35,waiting
36,waiting
37,you
38,make
39,move
40,i
41,make
42,move
43,baby
44,come
45,light
46,me
47,baby
48,i'll
49,let
50,you
51,little
52,bit
53,dangerous
54,baby
55,that's
56,i
57,want
58,little
59,less
60,conversation
61,little
62,touch
63,my
64,body
65,'cause
66,i'm
67,you
68,you
69,you
70,got
71,everyone
72,watchin'
73,us
74,baby
75,let's
76,keep
77,secret
78,little
79,bit
80,scandalous
81,baby
82,let
83,see
84,little
85,less
86,conversation
87,little
88,touch
89,my
90,body
91,'cause
92,i'm
93,you
94,you
95,you
96,oh
97,yeah
98,could
99,take
100,time
101,hey
102,made
103,many
104,mistakes
105,better
106,get
107,right
108,right
109,baby
110,prechorus
111,oh
112,baby
113,look
114,you
115,started
116,temperature's
117,rising
118,gonna
119,happen
120,waiting
121,waiting
122,you
123,make
124,move
125,i
126,make
127,move
128,baby
129,come
130,light
131,me
132,baby
133,i'll
134,let
135,you
136,little
137,bit
138,dangerous
139,baby
140,that's
141,i
142,want
143,little
144,less
145,conversation
146,little
147,touch
148,my
149,body
150,'cause
151,i'm
152,you
153,you
154,you
155,got
156,everyone
157,watchin'
158,us
159,baby
160,let's
161,keep
162,secret
163,little
164,bit
165,scandalous
166,baby
167,let
168,see
169,little
170,less
171,conversation
172,little
173,touch
174,my
175,body
176,'cause
177,i'm
178,you
179,you
180,you
181,oh
182,yeah
183,'cause
184,i'm
185,you
186,tell
187,me
188,you
189,came
190,'cause
191,i
192,can't
193,i
194,can't
195,wait
196,i'm
197,edge
198,control
199,i
200,need
201,i
202,need
203,you
204,know
205,you
206,know
207,oh
208,baby
209,come
210,light
211,me
212,baby
213,i'll
214,let
215,you
216,little
217,bit
218,dangerous
219,baby
220,that's
221,i
222,want
223,little
224,less
225,conversation
226,little
227,touch
228,my
229,body
230,'cause
231,i'm
232,you
233,you
234,you
235,got
236,everyone
237,watchin'
238,us
239,baby
240,let's
241,keep
242,secret
243,little
244,bit
245,scandalous
246,baby
247,let
248,see
249,little
250,less
251,conversation
252,little
253,touch
254,my
255,body
256,'cause
257,i'm
258,you
259,you
260,you
261,come
262,light
263,me
264,come
265,light
266,me
267,my
268,baby
269,little
270,dangerous
271,little
272,dangerous
273,my
274,boy
275,little
276,less
277,conversation
278,little
279,touch
280,my
281,body
282,'cause
283,i'm
284,you
285,you
286,you
