,You're the Inspiration_Chicago
0,you
1,know
2,love
3,meant
4,kind
5,love
6,lasts
7,forever
8,i
9,want
10,you
11,me
12,tonight
13,end
14,time
15,you
16,know
17,everywhere
18,i
19,go
20,always
21,my
22,mind
23,my
24,heart
25,my
26,soul
27,baby
28,you're
29,meaning
30,my
31,life
32,you're
33,inspiration
34,you
35,bring
36,feeling
37,my
38,life
39,you're
40,inspiration
41,wanna
42,you
43,near
44,me
45,i
46,wanna
47,you
48,hear
49,me
50,sayin'
51,one
52,needs
53,you
54,i
55,need
56,you
57,i
58,know
59,yes
60,i
61,know
62,plain
63,see
64,love
65,we're
66,together
67,i
68,know
69,i
70,need
71,you
72,me
73,tonight
74,end
75,time
76,you
77,know
78,everywhere
79,i
80,go
81,always
82,my
83,mind
84,my
85,heart
86,my
87,soul
88,you're
89,meaning
90,my
91,life
92,you're
93,inspiration
94,you
95,bring
96,feeling
97,my
98,life
99,you're
100,inspiration
101,wanna
102,you
103,near
104,me
105,i
106,wanna
107,you
108,hear
109,me
110,sayin'
111,one
112,needs
113,you
114,i
115,need
116,you
117,wanna
118,you
119,near
120,me
121,i
122,wanna
123,you
124,hear
125,me
126,sayin'
127,one
128,needs
129,you
130,i
131,need
132,you
133,chorusoutro
134,you're
135,meaning
136,my
137,life
138,you're
139,inspiration
140,you
141,bring
142,feeling
143,my
144,life
145,you're
146,inspiration
147,you
148,love
149,somebody
150,'til
151,end
152,time
153,you
154,love
155,somebody
156,always
157,my
158,mind
159,one
160,needs
161,you
162,i
163,you
164,love
165,somebody
166,'til
167,end
168,time
169,you
170,love
171,somebody
172,always
173,my
174,mind
175,i
176,need
177,you
