,Forever_Chris Brown
0,one
1,two
2,three
3,four
4,hey
5,hey
6,forever
7,hey
8,hey
9,forever
10,you
11,me
12,moving
13,speed
14,light
15,eternity
16,yeah
17,tonight
18,night
19,join
20,me
21,middle
22,ecstasy
23,feel
24,melody
25,rhythm
26,music
27,around
28,you
29,around
30,you
31,ohoh
32,i'ma
33,take
34,you
35,i'ma
36,take
37,you
38,oh
39,scared
40,i'm
41,right
42,baby
43,go
44,anywhere
45,go
46,anywhere
47,yeah
48,first
49,your
50,chance
51,take
52,my
53,hand
54,come
55,me
56,like
57,i've
58,waited
59,my
60,whole
61,life
62,oh
63,one
64,night
65,oh
66,gon'
67,me
68,you
69,dance
70,floor
71,'cause
72,got
73,one
74,night
75,oh
76,oh
77,double
78,your
79,pleasure
80,double
81,your
82,fun
83,dance
84,foreeever
85,foreeever
86,foreeever
87,forever
88,foreeever
89,foreeever
90,foreeever
91,forever
92,dance
93,floor
94,feels
95,like
96,we're
97,another
98,level
99,oh
100,feels
101,like
102,love's
103,intertwined
104,two
105,rebels
106,breaking
107,rules
108,me
109,you
110,you
111,i
112,you
113,gotta
114,watch
115,me
116,watch
117,me
118,look
119,i
120,my
121,feet
122,my
123,feet
124,baby
125,feel
126,beat
127,inside
128,i'm
129,driving
130,you
131,take
132,front
133,seat
134,front
135,seat
136,i
137,need
138,you
139,trust
140,me
141,trust
142,me
143,oh
144,girl
145,oh
146,girl
147,oh
148,girl
149,like
150,i've
151,like
152,i've
153,waited
154,my
155,whole
156,life
157,oh
158,one
159,night
160,one
161,night
162,oh
163,gon'
164,me
165,you
166,dance
167,floor
168,dance
169,floor
170,'cause
171,got
172,one
173,night
174,oh
175,oh
176,one
177,night
178,double
179,your
180,pleasure
181,double
182,your
183,fun
184,yeah
185,dance
186,foreeever
187,foreeever
188,foreeever
189,forever
190,foreeever
191,foreeever
192,foreeever
193,forever
194,dance
195,floor
196,long
197,way
198,high
199,ground
200,sending
201,angel
202,bring
203,me
204,your
205,heart
206,girl
207,you
208,come
209,got
210,me
211,undone
212,gaze
213,your
214,eyes
215,got
216,me
217,saying
218,beautiful
219,lady
220,ifs
221,ands
222,maybes
223,i'm
224,releasing
225,my
226,heart
227,feeling
228,amazing
229,there's
230,one
231,else
232,matters
233,you
234,love
235,me
236,i
237,let
238,you
239,fall
240,girl
241,fall
242,girl
243,let
244,you
245,fall
246,girl
247,oh
248,oh
249,oh
250,yeah
251,yeah
252,i
253,let
254,you
255,fall
256,let
257,you
258,fall
259,let
260,you
261,fall
262,oh
263,ohoh
264,yeah
265,yeah
266,yeah
267,yeah
268,like
269,like
270,i've
271,waited
272,my
273,whole
274,life
275,oh
276,whole
277,life
278,one
279,night
280,one
281,night
282,oh
283,gon'
284,me
285,you
286,dance
287,floor
288,me
289,you
290,dance
291,floor
292,'cause
293,got
294,one
295,night
296,oh
297,oh
298,double
299,your
300,pleasure
301,double
302,your
303,fun
304,dance
305,foreeever
306,foreeever
307,foreeever
308,forever
309,foreeever
310,foreeever
311,foreeever
312,forever
313,dance
314,floor
315,oh
316,oh
317,ohohohohoh
318,ohohoh
319,yeah
320,forever
321,ever
322,ever
323,ever
324,forever
325,ever
326,ever
