,5 Years Time_Noah and the Whale
0,oh
1,well
2,five
3,years
4,time
5,could
6,walking
7,'round
8,zoo
9,sun
10,shining
11,there'll
12,love
13,bodies
14,elephants
15,i'll
16,put
17,hands
18,eyes
19,peep
20,there'll
21,sun
22,sun
23,sun
24,bodies
25,sun
26,sun
27,sun
28,necks
29,there'll
30,sun
31,sun
32,sun
33,faces
34,sun
35,sun
36,sun
37,-
38,heck
39,'cause
40,i'll
41,laughing
42,silly
43,little
44,jokes
45,we'll
46,laughing
47,used
48,smoke
49,stupid
50,little
51,cigarettes
52,drink
53,stupid
54,wine
55,'cause
56,needed
57,good
58,time
59,fun
60,fun
61,fun
62,drinking
63,fun
64,fun
65,fun
66,drunk
67,fun
68,fun
69,fun
70,laughing
71,fun
72,fun
73,fun
74,oh
75,fun
76,oh
77,well
78,look
79,say
80,happiest
81,i've
82,ever
83,i'll
84,say
85,longer
86,feel
87,james
88,dean
89,she'll
90,say
91,"""yeah"
92,well
93,feel
94,pretty
95,happy
96,i'm
97,always
98,pretty
99,happy
100,i'm
101,kicking
102,back
103,"you"""
104,it'll
105,love
106,love
107,love
108,bodies
109,love
110,love
111,love
112,minds
113,it'll
114,love
115,love
116,love
117,face
118,love
119,love
120,love
121,mine
122,although
123,maybe
124,moments
125,head
126,i'll
127,thinking
128,i'm
129,lying
130,bed
131,believe
132,might
133,even
134,come
135,true
136,mind
137,i'm
138,havin'
139,pretty
140,good
141,time
142,five
143,years
144,time
145,might
146,know
147,five
148,years
149,time
150,might
151,speak
152,five
153,years
154,time
155,might
156,get
157,along
158,five
159,years
160,time
161,might
162,prove
163,wrong
164,oh
165,there'll
166,love
167,love
168,love
169,wherever
170,go
171,there'll
172,love
