,I'm in Here_Sia
0,i'm
1,anybody
2,see
3,anybody
4,help
5,i'm
6,prisoner
7,history
8,anybody
9,help
10,can't
11,hear
12,call
13,coming
14,get
15,i've
16,waiting
17,come
18,rescue
19,need
20,hold
21,sadness
22,live
23,withinside
24,i'm
25,i'm
26,trying
27,tell
28,something
29,anybody
30,help
31,i'm
32,i'm
33,calling
34,can't
35,hear
36,anybody
37,help
38,can't
39,hear
40,call
41,coming
42,get
43,i've
44,waiting
45,come
46,rescue
47,need
48,hold
49,sadness
50,live
51,withinside
52,bridge
53,i'm
54,crying
55,i'm
56,breaking
57,fearing
58,stuck
59,inside
60,walls
61,tell
62,hope
63,anybody
64,listening
65,can't
66,hear
67,call
68,coming
69,get
70,i've
71,waiting
72,come
73,rescue
74,need
75,hold
76,sadness
77,live
78,withinside
79,can't
80,hear
81,call
82,coming
83,get
84,i've
85,waiting
86,come
87,rescue
88,need
89,hold
90,live
91,withinside
92,outro
93,i'm
94,anybody
95,see
96,anybody
97,help
